track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
2,KBUF20221005_120753_V06,51.050,0.069,245.987,95.578,11.623,-79.073,43.868,5811.672,20221005_080753
2,KBUF20221005_121327_V06,56.617,-1.000,245.987,95.578,20.474,-79.073,43.868,10237.172,20221005_081327
2,KBUF20221005_121901_V06,62.184,0.102,253.912,89.514,28.638,-79.024,43.896,14318.790,20221005_081901
1,KBUF20221005_120219_V06,45.484,0.071,31.471,287.148,51.015,-80.383,42.995,25507.303,20221005_080219
3,KBUF20221005_121901_V06,62.184,0.205,279.963,126.293,42.800,-78.861,43.730,21399.776,20221005_081901
1,KBUF20221006_105222_V06,-25.609,0.107,384.339,344.787,6.827,-78.222,42.746,3413.626,20221006_065222
4,KBUF20221006_110342_V06,-14.275,0.063,168.842,156.232,23.509,-79.549,43.593,11754.539,20221006_070342
6,KBUF20221006_110915_V06,-8.725,0.090,217.663,421.197,8.268,-79.237,42.402,4133.997,20221006_070915
10,KBUF20221006_120658_V06,48.991,0.053,215.800,158.586,18.751,-79.258,43.584,9375.732,20221006_080658
2,KBUF20221007_110902_V06,-10.088,0.217,21.707,441.474,32.575,-80.424,42.299,16287.394,20221007_070902
2,KBUF20221007_111435_V06,-4.538,0.505,24.673,440.103,42.577,-80.407,42.306,21288.504,20221007_071435
2,KBUF20221007_112008_V06,1.012,0.483,31.870,433.677,49.045,-80.364,42.335,24522.507,20221007_072008
2,KBUF20221007_112540_V06,6.545,0.188,41.699,429.141,59.420,-80.305,42.357,29709.779,20221007_072540
11,KBUF20221008_121741_V06,57.410,0.238,325.683,380.405,11.230,-78.581,42.587,5615.173,20221008_081741
11,KBUF20221008_122620_V06,66.060,0.243,324.524,377.529,20.859,-78.588,42.600,10429.328,20221008_082620
11,KBUF20221008_123500_V06,74.727,0.417,328.528,379.098,22.746,-78.563,42.592,11372.930,20221008_083500
11,KBUF20221008_124339_V06,83.377,0.637,339.497,381.024,22.190,-78.496,42.584,11095.098,20221008_084339
6,KBUF20221008_112000_V06,-0.273,0.069,310.413,425.645,22.928,-78.674,42.383,11464.125,20221008_072000
6,KBUF20221008_112839_V06,8.377,0.185,301.735,411.652,33.865,-78.726,42.446,16932.376,20221008_072839
4,KBUF20221008_111120_V06,-8.940,0.087,426.237,153.854,34.610,-77.955,43.604,17304.878,20221008_071120
5,KBUF20221008_111120_V06,-8.940,0.053,372.998,385.067,11.823,-78.292,42.565,5911.543,20221008_071120
7,KBUF20221008_112000_V06,-0.273,0.068,280.927,398.626,25.575,-78.853,42.505,12787.447,20221008_072000
10,KBUF20221008_120750_V06,47.560,0.112,373.320,463.161,27.648,-78.293,42.213,13824.016,20221008_080750
1,KBUF20221009_111253_V06,-8.545,0.050,218.127,420.640,5.042,-79.234,42.405,2521.021,20221009_071253
2,KBUF20221012_113139_V06,6.724,0.059,169.944,295.144,19.525,-79.534,42.968,9762.722,20221012_073139
2,KBUF20221012_113712_V06,12.274,0.107,168.410,295.935,29.606,-79.543,42.964,14803.024,20221012_073712
2,KBUF20221012_114245_V06,17.824,0.073,173.551,290.182,33.666,-79.512,42.990,16832.993,20221012_074245
1,KBUF20221012_110944_V06,-15.192,0.055,217.096,422.616,6.326,-79.240,42.396,3163.044,20221012_070944
2,KBUF20221014_111435_V06,-12.700,0.052,108.428,287.751,14.063,-79.912,42.998,7031.425,20221014_071435
4,KBUF20221014_112734_V06,0.283,0.195,295.966,176.105,17.855,-78.762,43.506,8927.635,20221014_072734
1,KBUF20221016_110050_V06,-28.831,0.052,216.617,421.047,5.472,-79.243,42.403,2736.185,20221016_070050
2,KBUF20221016_112534_V06,-4.097,0.083,352.816,253.497,10.181,-78.412,43.157,5090.446,20221016_072534
2,KBUF20221017_111715_V06,-13.613,0.105,38.585,366.148,61.450,-80.331,42.640,30724.930,20221017_071715
2,KBUF20221017_112346_V06,-7.096,0.083,40.307,363.008,72.951,-80.321,42.654,36475.513,20221017_072346
7,KBUF20221017_121554_V06,45.037,0.079,26.337,263.144,33.880,-80.418,43.102,16939.907,20221017_081554
7,KBUF20221017_122210_V06,51.304,0.072,27.528,253.931,29.840,-80.412,43.144,14920.039,20221017_082210
5,KBUF20221018_111652_V06,-15.200,0.576,354.038,271.813,18.481,-78.405,43.075,9240.639,20221018_071652
