track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
5,KBUF20220801_100533_V06,-0.516,0.761,76.338,375.990,32.572,-80.100,42.598,16286.140,20220801_060533
5,KBUF20220801_101412_V06,8.134,0.644,80.203,376.225,45.311,-80.076,42.598,22655.709,20220801_061412
5,KBUF20220801_102251_V06,16.784,0.628,85.550,375.975,52.924,-80.044,42.599,26461.901,20220801_062251
5,KBUF20220801_103130_V06,25.434,0.316,84.014,373.576,64.493,-80.053,42.610,32246.533,20220801_063130
1,KBUF20220801_093938_V06,-26.432,0.218,349.890,260.712,7.626,-78.430,43.125,3813.118,20220801_053938
1,KBUF20220801_094817_V06,-17.782,0.131,350.822,262.113,19.467,-78.425,43.119,9733.516,20220801_054817
1,KBUF20220801_100533_V06,-0.516,0.591,359.124,257.795,20.802,-78.374,43.138,10401.169,20220801_060533
4,KBUF20220801_094817_V06,-17.782,0.111,235.434,273.189,10.993,-79.133,43.069,5496.538,20220801_054817
4,KBUF20220801_100533_V06,-0.516,0.084,253.904,275.053,30.539,-79.020,43.061,15269.571,20220801_060533
6,KBUF20220801_101412_V06,8.134,0.055,177.485,304.251,23.251,-79.487,42.927,11625.729,20220801_061412
6,KBUF20220801_102251_V06,16.784,0.719,176.653,308.926,25.406,-79.492,42.906,12702.907,20220801_062251
6,KBUF20220801_103130_V06,25.434,0.433,176.101,312.379,22.076,-79.495,42.890,11037.981,20220801_063130
8,KBUF20220801_112312_V06,77.134,0.089,31.934,429.622,44.457,-80.364,42.354,22228.363,20220801_072312
8,KBUF20220801_113150_V06,85.768,0.077,29.957,427.320,51.158,-80.376,42.364,25579.130,20220801_073150
6,KBUF20220802_100403_V06,-3.063,0.613,75.488,397.872,27.400,-80.103,42.500,13700.209,20220802_060403
6,KBUF20220802_101032_V06,3.420,0.555,77.623,399.009,36.153,-80.090,42.495,18076.742,20220802_061032
6,KBUF20220802_101701_V06,9.904,0.610,86.685,397.501,47.686,-80.035,42.502,23842.855,20220802_061701
