track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KBUF20220702_092031_V06,-19.948,0.172,232.766,282.107,7.535,-79.149,43.028,3767.508,20220702_052031
2,KBUF20220702_092031_V06,-19.948,0.063,265.924,100.951,1.910,-78.949,43.844,955.143,20220702_052031
4,KBUF20220702_093119_V06,-9.148,0.070,267.745,106.696,5.338,-78.937,43.818,2669.224,20220702_053119
7,KBUF20220702_100343_V06,23.252,0.104,267.165,89.531,15.848,-78.941,43.896,7924.088,20220702_060343
8,KBUF20220702_102602_V06,45.568,0.054,367.563,63.456,23.549,-78.316,44.012,11774.578,20220702_062602
9,KBUF20220702_103141_V06,51.218,0.076,302.919,80.313,17.630,-78.719,43.937,8814.934,20220702_063141
1,KBUF20220703_091502_V06,-26.002,0.123,218.756,420.957,5.373,-79.230,42.403,2686.417,20220703_051502
3,KBUF20220703_092327_V06,-17.585,0.074,356.979,272.672,12.434,-78.387,43.071,6216.797,20220703_052327
4,KBUF20220703_094017_V06,-0.752,0.055,316.346,298.808,9.859,-78.637,42.954,4929.371,20220703_054017
1,KBUF20220704_091439_V06,-26.981,0.098,353.784,264.780,9.174,-78.407,43.107,4586.899,20220704_051439
2,KBUF20220704_093954_V06,-1.731,0.188,147.751,176.680,3.663,-79.678,43.500,1831.522,20220704_053954
4,KBUF20220704_102253_V06,41.252,0.056,216.479,422.014,7.489,-79.244,42.398,3744.631,20220704_062253
6,KBUF20220705_093733_V06,-4.703,0.179,45.068,413.358,58.795,-80.286,42.428,29397.377,20220705_053733
6,KBUF20220705_094424_V06,2.147,0.126,47.384,414.163,69.202,-80.272,42.424,34600.923,20220705_054424
7,KBUF20220705_093733_V06,-4.703,0.060,401.713,63.961,60.201,-78.103,44.009,30100.418,20220705_053733
7,KBUF20220705_094424_V06,2.147,0.102,408.868,63.864,67.328,-78.058,44.009,33663.813,20220705_054424
8,KBUF20220705_093733_V06,-4.703,0.055,26.488,335.040,27.143,-80.408,42.779,13571.428,20220705_053733
8,KBUF20220705_094424_V06,2.147,0.074,29.736,333.049,34.618,-80.389,42.788,17308.868,20220705_054424
11,KBUF20220705_101200_V06,29.747,0.082,220.222,66.008,24.982,-79.234,44.001,12491.108,20220705_061200
11,KBUF20220705_101822_V06,36.114,0.116,224.396,65.873,33.114,-79.208,44.001,16557.046,20220705_061822
11,KBUF20220705_102428_V06,42.214,0.164,246.916,62.222,29.118,-79.068,44.018,14559.076,20220705_062428
11,KBUF20220705_103035_V06,48.331,0.383,254.171,65.838,34.371,-79.023,44.002,17185.648,20220705_063035
3,KBUF20220705_092350_V06,-18.419,0.095,113.243,61.851,17.045,-79.901,44.015,8522.691,20220705_052350
19,KBUF20220705_104313_V06,60.964,0.082,310.160,127.559,13.070,-78.674,43.725,6535.183,20220705_064313
20,KBUF20220705_104920_V06,67.081,0.088,110.890,330.210,18.842,-79.893,42.807,9420.884,20220705_064920
1,KBUF20220706_100700_V06,24.101,0.171,342.228,263.840,8.749,-78.478,43.111,4374.722,20220706_060700
2,KBUF20220706_102805_V06,45.184,0.065,214.590,421.482,5.355,-79.256,42.401,2677.563,20220706_062805
1,KBUF20220707_091539_V06,-27.920,0.062,377.122,374.504,8.756,-78.267,42.612,4377.996,20220707_051539
2,KBUF20220707_092352_V06,-19.703,0.092,214.376,422.843,5.846,-79.257,42.395,2922.756,20220707_052352
4,KBUF20220707_092352_V06,-19.703,0.056,243.233,107.382,1.652,-79.090,43.815,826.174,20220707_052352
5,KBUF20220707_094900_V06,5.430,0.185,374.738,67.138,16.141,-78.271,43.996,8070.339,20220707_054900
6,KBUF20220707_104125_V06,57.847,0.163,241.114,93.903,4.568,-79.103,43.876,2283.884,20220707_064125
1,KBUF20220708_094626_V06,2.169,0.076,265.911,89.354,13.653,-78.949,43.896,6826.384,20220708_054626
1,KBUF20220708_100344_V06,19.469,0.066,266.940,85.638,21.765,-78.943,43.913,10882.600,20220708_060344
1,KBUF20220708_101223_V06,28.119,0.054,272.278,98.842,27.216,-78.909,43.854,13607.929,20220708_061223
1,KBUF20220708_102101_V06,36.753,0.108,277.238,100.587,28.403,-78.878,43.846,14201.477,20220708_062101
2,KBUF20220708_094626_V06,2.169,0.058,35.936,401.596,38.136,-80.343,42.480,19068.165,20220708_054626
2,KBUF20220709_103516_V06,50.286,0.057,216.248,420.533,5.058,-79.246,42.405,2528.980,20220709_063516
2,KBUF20220710_093922_V06,-6.352,0.060,347.000,267.024,12.112,-78.448,43.097,6055.969,20220710_053922
2,KBUF20220710_094801_V06,2.298,0.366,347.201,264.853,18.950,-78.447,43.106,9475.204,20220710_054801
1,KBUF20220710_093922_V06,-6.352,0.081,145.473,317.553,17.381,-79.682,42.866,8690.275,20220710_053922
3,KBUF20220710_101357_V06,28.231,0.159,214.122,424.268,8.959,-79.258,42.388,4479.404,20220710_061357
1,KBUF20220711_093131_V06,-14.962,0.490,349.499,258.897,10.501,-78.433,43.133,5250.656,20220711_053131
1,KBUF20220711_093649_V06,-9.662,0.613,349.050,257.795,17.015,-78.435,43.138,8507.461,20220711_053649
1,KBUF20220711_094222_V06,-4.112,0.312,354.044,252.236,21.708,-78.405,43.163,10854.106,20220711_054222
4,KBUF20220711_093131_V06,-14.962,0.067,378.187,391.183,8.658,-78.261,42.537,4328.770,20220711_053131
4,KBUF20220712_092825_V06,-18.841,0.106,216.744,420.254,3.286,-79.243,42.406,1642.948,20220712_052825
12,KBUF20220712_094302_V06,-4.225,0.238,409.204,196.810,12.392,-78.063,43.411,6195.930,20220712_054302
13,KBUF20220712_094302_V06,-4.225,0.176,88.293,398.288,11.942,-80.025,42.499,5971.119,20220712_054302
1,KBUF20220713_091948_V06,-28.257,0.178,218.031,421.675,7.584,-79.235,42.400,3792.208,20220713_051948
5,KBUF20220713_093005_V06,-17.974,0.070,233.005,277.577,5.904,-79.148,43.049,2951.759,20220713_053005
2,KBUF20220714_094307_V06,-5.759,0.110,159.191,317.809,8.676,-79.598,42.865,4338.165,20220714_054307
2,KBUF20220714_100340_V06,14.791,0.196,159.699,332.650,32.091,-79.594,42.798,16045.585,20220714_060340
2,KBUF20220714_101357_V06,25.074,0.398,164.467,329.222,33.202,-79.566,42.814,16600.901,20220714_061357
2,KBUF20220714_102414_V06,35.358,0.267,166.248,324.363,35.081,-79.555,42.836,17540.421,20220714_062414
2,KBUF20220714_103430_V06,45.624,0.054,172.618,324.995,42.913,-79.516,42.833,21456.367,20220714_063430
1,KBUF20220714_094307_V06,-5.759,0.120,342.335,267.910,13.426,-78.477,43.093,6712.944,20220714_054307
1,KBUF20220714_100340_V06,14.791,0.086,343.067,264.906,19.159,-78.472,43.106,9579.590,20220714_060340
3,KBUF20220714_100340_V06,14.791,0.077,218.853,421.409,7.348,-79.230,42.401,3673.807,20220714_060340
3,KBUF20220714_101357_V06,25.074,-1.000,218.853,421.409,23.698,-79.230,42.401,11849.057,20220714_061357
3,KBUF20220714_102414_V06,35.358,0.057,219.004,419.826,7.526,-79.229,42.408,3763.187,20220714_062414
