track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
2,KBUF20220901_102034_V06,-18.973,0.777,58.699,396.927,12.951,-80.205,42.503,6475.323,20220901_062034
2,KBUF20220901_103051_V06,-8.690,0.896,69.466,406.438,27.904,-80.138,42.461,13952.143,20220901_063051
2,KBUF20220901_104107_V06,1.577,0.657,79.579,419.111,40.840,-80.076,42.405,20419.853,20220901_064107
2,KBUF20220901_110141_V06,22.143,0.098,79.643,415.987,46.414,-80.076,42.419,23207.065,20220901_070141
1,KBUF20220901_101018_V06,-29.240,0.064,215.968,423.412,7.983,-79.247,42.392,3991.707,20220901_061018
3,KBUF20220901_103051_V06,-8.690,0.067,232.360,277.789,6.085,-79.152,43.048,3042.423,20220901_063051
1,KBUF20220902_102645_V06,-13.873,0.185,49.475,380.048,19.512,-80.263,42.578,9755.871,20220902_062645
1,KBUF20220902_103703_V06,-3.573,0.758,47.769,382.606,32.192,-80.273,42.566,16095.927,20220902_063703
1,KBUF20220902_104719_V06,6.693,0.832,48.155,384.285,45.627,-80.270,42.559,22813.670,20220902_064719
1,KBUF20220902_110753_V06,27.260,0.857,47.725,386.049,60.860,-80.273,42.551,30429.898,20220902_070753
1,KBUF20220902_111810_V06,37.543,0.803,49.769,382.143,76.447,-80.261,42.569,38223.396,20220902_071810
1,KBUF20220902_112826_V06,47.810,0.670,52.471,370.212,84.078,-80.246,42.623,42038.805,20220902_072826
1,KBUF20220902_113843_V06,58.093,0.109,44.696,346.080,81.092,-80.296,42.731,40546.202,20220902_073843
1,KBUF20220902_114900_V06,68.377,0.133,50.867,331.103,82.038,-80.260,42.798,41018.939,20220902_074900
3,KBUF20220902_104719_V06,6.693,0.053,116.856,195.648,27.171,-79.868,43.413,13585.394,20220902_064719
3,KBUF20220902_110753_V06,27.260,0.072,161.188,201.060,66.000,-79.594,43.391,32999.781,20220902_070753
2,KBUF20220902_102645_V06,-13.873,0.055,270.767,86.099,11.701,-78.919,43.911,5850.437,20220902_062645
4,KBUF20220902_111810_V06,37.543,0.199,340.922,104.765,28.856,-78.483,43.827,14427.933,20220902_071810
5,KBUF20220902_113843_V06,58.093,0.329,50.823,437.525,57.132,-80.248,42.320,28565.813,20220902_073843
2,KBUF20220903_103038_V06,-11.073,0.703,59.823,379.511,20.702,-80.200,42.581,10351.222,20220903_063038
2,KBUF20220903_103902_V06,-2.673,0.935,66.269,378.183,28.825,-80.161,42.588,14412.279,20220903_063902
2,KBUF20220903_104740_V06,5.961,0.785,71.868,378.080,35.586,-80.127,42.589,17793.199,20220903_064740
2,KBUF20220903_110455_V06,23.211,0.785,72.725,372.749,61.866,-80.122,42.613,30933.135,20220903_070455
2,KBUF20220903_111334_V06,31.861,0.699,77.980,371.937,73.154,-80.090,42.617,36576.834,20220903_071334
2,KBUF20220903_112213_V06,40.511,0.731,84.404,362.385,86.701,-80.052,42.660,43350.318,20220903_072213
2,KBUF20220903_113051_V06,49.144,0.116,90.051,359.152,95.061,-80.018,42.675,47530.575,20220903_073051
