track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time,count_scaling,n_animals,overthresh_percent
1,KOKX20010602_090717,-14.277,0.216,232.212,201.632,28.035,-73.269,41.308,14017.370,20010602_050717,1.200000,63774.7862,0.000000
2,KOKX20010602_091859,-2.577,0.272,311.213,367.054,20.161,-72.798,40.564,10080.696,20010602_051859,1.200000,41438.7989,0.018627
3,KOKX20010602_093044,9.173,0.160,329.317,333.685,17.174,-72.691,40.714,8587.091,20010602_053044,1.200000,44924.3115,0.048470
4,KOKX20010602_095412,32.640,0.069,353.476,280.276,25.020,-72.547,40.954,12509.842,20010602_055412,1.200000,243348.7535,0.158685
5,KOKX20010602_095412,32.640,0.063,103.097,225.604,24.292,-74.038,41.195,12146.244,20010602_055412,1.200000,289145.7207,0.000000
6,KOKX20010602_101148,50.240,0.083,144.018,360.641,15.899,-73.786,40.589,7949.404,20010602_061148,1.200000,254873.8089,0.095850
8,KOKX20010602_103516,73.706,0.080,99.487,398.896,16.647,-74.046,40.414,8323.296,20010602_063516,1.200000,237280.7866,0.000000
2,KOKX20010603_092435,3.408,0.254,390.200,298.026,24.400,-72.329,40.873,12200.180,20010603_052435,1.200000,53054.1857,0.118894
2,KOKX20010603_093028,9.292,0.274,392.246,295.259,30.537,-72.317,40.886,15268.434,20010603_053028,1.200000,69434.9980,0.078890
1,KOKX20010603_085515,-25.925,0.186,354.319,301.748,8.441,-72.542,40.857,4220.657,20010603_045515,1.200000,6556.8055,0.051195
4,KOKX20010603_100540,44.492,0.057,441.101,306.659,13.775,-72.028,40.833,6887.344,20010603_060540,1.200000,28404.1524,0.044643
5,KOKX20010603_101724,56.225,0.063,243.908,325.303,2.211,-73.197,40.751,1105.310,20010603_061724,1.200000,126.7314,0.000000
6,KOKX20010603_101724,56.225,0.061,444.094,221.761,38.852,-72.005,41.215,19425.983,20010603_061724,1.200000,189027.9591,0.090996
1,KOKX20010605_093921,18.846,0.131,541.633,456.159,16.051,-71.446,40.154,8025.342,20010605_053921,1.200000,357.4695,0.000000
2,KOKX20010605_093921,18.846,0.112,517.303,448.485,13.307,-71.589,40.190,6653.631,20010605_053921,1.200000,373.2112,0.000000
1,KOKX20010606_085121,-28.868,0.118,112.857,373.887,24.903,-73.969,40.528,12451.376,20010606_045121,1.200000,4680.5455,0.000000
1,KOKX20010606_090112,-19.018,0.234,128.321,375.019,31.146,-73.877,40.523,15572.869,20010606_050112,1.200000,3099.7470,0.000000
4,KOKX20010606_091102,-9.185,0.149,273.793,330.765,13.396,-73.020,40.727,6698.208,20010606_051102,1.200000,1012.9734,0.000000
6,KOKX20010606_091102,-9.185,0.060,263.594,290.502,9.071,-73.080,40.908,4535.526,20010606_051102,1.200000,845.5982,0.008065
7,KOKX20010606_092053,0.665,0.061,435.744,530.282,44.406,-72.072,39.826,22203.186,20010606_052053,1.200000,3331.8619,0.000000
8,KOKX20010606_093044,10.515,0.559,444.877,299.069,9.865,-72.005,40.867,4932.510,20010606_053044,1.200000,142.7065,0.000000
10,KOKX20010606_100017,40.065,0.111,393.493,271.163,55.494,-72.309,40.994,27746.902,20010606_060017,1.200000,40341.9207,0.000395
11,KOKX20010606_102949,69.599,0.051,218.753,233.381,9.398,-73.348,41.164,4698.805,20010606_062949,1.200000,1331.8272,0.000000
1,KOKX20010607_101241,52.718,0.079,433.649,378.166,1.810,-72.076,40.511,905.193,20010607_061241,1.200000,2353.9646,0.000000
1,KOKX20010610_094604,26.658,0.167,380.901,339.819,2.653,-72.386,40.685,1326.664,20010610_054604,1.200000,1.7014,0.000000
3,KOKX20010610_102528,66.058,0.079,402.647,208.208,19.819,-72.252,41.277,9909.477,20010610_062528,1.200000,21686.0675,0.040541
1,KOKX20010611_090829,-10.807,0.124,469.677,508.362,34.779,-71.872,39.923,17389.606,20010611_050829,1.200000,2591.5945,0.000000
2,KOKX20010611_101726,58.143,0.192,6.295,223.969,11.025,-74.615,41.195,5512.471,20010611_061726,1.200000,48630.1337,0.011070
2,KOKX20010613_092524,6.247,0.058,335.966,289.243,15.385,-72.651,40.914,7692.337,20010613_052524,1.200000,29572.2128,0.090992
2,KOKX20010613_093116,12.113,0.236,337.677,289.915,22.192,-72.641,40.911,11096.046,20010613_053116,1.200000,48838.4091,0.049556
2,KOKX20010613_093708,17.980,0.762,342.528,290.508,22.428,-72.612,40.908,11213.778,20010613_053708,1.200000,55951.3957,0.021201
2,KOKX20010613_094300,23.847,0.107,345.163,291.032,25.328,-72.596,40.906,12664.096,20010613_054300,1.200000,52720.3141,0.010835
2,KOKX20010613_094852,29.713,0.711,353.963,288.778,25.088,-72.544,40.916,12543.974,20010613_054852,1.200000,66790.2581,0.000000
2,KOKX20010613_095444,35.580,0.102,358.732,293.190,25.264,-72.516,40.896,12632.235,20010613_055444,1.200000,81221.0920,0.000133
2,KOKX20010613_100035,41.430,0.090,367.367,294.289,25.260,-72.465,40.891,12630.136,20010613_060035,1.200000,65489.7039,0.001997
1,KOKX20010613_091341,-5.470,0.238,310.078,290.220,24.491,-72.805,40.910,12245.571,20010613_051341,1.200000,31397.8534,0.136206
1,KOKX20010613_091932,0.380,0.245,310.902,290.281,31.173,-72.800,40.909,15586.260,20010613_051932,1.200000,46894.5024,0.081247
3,KOKX20010613_101724,58.247,0.722,250.587,214.091,21.538,-73.159,41.252,10768.902,20010613_061724,1.200000,434.5278,0.000000
1,KOKX20010615_085418,-24.849,0.184,330.915,147.002,2.891,-72.679,41.554,1445.335,20010615_045418,1.200000,256.7563,0.000000
1,KOKX20010615_090409,-14.999,0.099,330.572,145.210,12.530,-72.681,41.562,6264.793,20010615_050409,1.200000,251.4975,0.000000
2,KOKX20010615_085418,-24.849,0.092,282.000,152.917,1.842,-72.972,41.528,921.127,20010615_045418,1.200000,12.9793,0.000000
1,KOKX20010616_084931,-29.679,0.097,136.983,362.716,3.269,-73.827,40.579,1634.689,20010616_044931,1.200000,162.4684,0.000000
2,KOKX20010616_103751,78.654,0.095,294.545,395.876,2.546,-72.897,40.434,1273.245,20010616_063751,1.200000,724.9305,0.000000
1,KOKX20010617_095556,36.658,0.361,209.699,344.152,10.354,-73.398,40.666,5177.074,20010617_055556,1.200000,689.4566,0.000000
1,KOKX20010617_100148,42.524,0.690,208.605,344.786,21.484,-73.405,40.663,10742.062,20010617_060148,1.200000,1430.7392,0.000000
8,KOKX20010617_101332,54.258,0.254,314.027,127.766,30.819,-72.780,41.641,15409.313,20010617_061332,1.200000,848563.3696,0.195787
8,KOKX20010617_101923,60.108,0.101,314.256,125.255,38.588,-72.779,41.652,19294.132,20010617_061923,1.200000,933366.3909,0.284522
8,KOKX20010617_102513,65.941,0.110,320.798,109.792,30.388,-72.739,41.722,15194.168,20010617_062513,1.200000,827001.5309,0.111282
8,KOKX20010617_103105,71.808,0.229,320.649,106.892,37.064,-72.740,41.735,18531.918,20010617_063105,1.200000,1439054.0527,0.188248
9,KOKX20010617_102513,65.941,0.140,214.009,274.820,21.331,-73.375,40.978,10665.606,20010617_062513,1.200000,13636.7391,0.012170
9,KOKX20010617_103105,71.808,0.076,215.444,273.847,27.590,-73.367,40.982,13794.777,20010617_063105,1.200000,21264.2859,0.011377
2,KOKX20010617_095556,36.658,0.290,288.825,163.351,45.217,-72.931,41.481,22608.675,20010617_055556,1.200000,1382951.6165,0.428907
2,KOKX20010617_100148,42.524,0.057,290.284,150.832,38.642,-72.923,41.537,19320.883,20010617_060148,1.200000,1141304.2156,0.508437
3,KOKX20010617_095556,36.658,0.276,237.641,264.486,17.158,-73.235,41.025,8579.205,20010617_055556,1.200000,8340.9764,0.010784
6,KOKX20010617_100148,42.524,0.156,350.356,286.859,12.696,-72.566,40.924,6348.053,20010617_060148,1.200000,3001.5725,0.002374
11,KOKX20010617_104249,83.541,0.245,338.593,69.434,20.554,-72.632,41.903,10277.012,20010617_064249,1.200000,923660.4141,0.227496
4,KOKX20010619_094320,23.802,0.475,141.826,421.446,10.364,-73.795,40.315,5182.072,20010619_054320,1.200000,22813.3147,0.008451
4,KOKX20010619_095311,33.652,0.642,142.782,423.636,16.179,-73.789,40.305,8089.647,20010619_055311,1.200000,15163.9431,0.000000
4,KOKX20010619_100301,43.485,0.204,145.590,421.419,22.988,-73.773,40.315,11494.021,20010619_060301,1.200000,13008.8770,0.000000
4,KOKX20010619_101252,53.335,0.180,146.618,426.017,22.490,-73.766,40.295,11245.227,20010619_061252,1.200000,37660.5584,0.001172
1,KOKX20010619_085405,-25.448,0.252,155.848,380.619,3.229,-73.715,40.499,1614.483,20010619_045405,1.200000,5711.9112,0.000000
3,KOKX20010619_090356,-15.598,0.072,253.040,513.776,16.035,-73.139,39.903,8017.416,20010619_050356,1.200000,313.8269,0.000000
5,KOKX20010619_101252,53.335,0.107,63.138,445.094,9.817,-74.255,40.204,4908.399,20010619_061252,1.200000,6056.1833,0.013043
3,KOKX20010620_091618,-3.407,0.262,234.531,538.272,28.633,-73.247,39.792,14316.511,20010620_051618,1.200000,4065.1461,0.000000
3,KOKX20010620_092609,6.443,0.057,241.896,529.607,34.678,-73.204,39.831,17339.201,20010620_052609,1.200000,5819.0423,0.000000
1,KOKX20010620_085636,-23.107,0.057,165.299,523.005,15.431,-73.651,39.859,7715.626,20010620_045636,1.200000,849.6071,0.000000
2,KOKX20010620_090627,-13.257,0.158,341.534,372.293,18.889,-72.619,40.540,9444.735,20010620_050627,1.200000,151.7251,0.000000
4,KOKX20010620_101523,55.677,0.167,512.930,229.827,10.337,-71.596,41.175,5168.270,20010620_061523,1.200000,2743.2370,0.000000
5,KOKX20010620_103504,75.360,0.566,548.158,521.074,14.122,-71.414,39.861,7061.245,20010620_063504,1.200000,11870.6390,0.000000
1,KOKX20010621_085037,-29.296,0.112,74.517,216.759,21.938,-74.209,41.233,10969.111,20010621_045037,1.200000,1244.4934,0.000000
2,KOKX20010621_085037,-29.296,0.063,397.260,203.024,3.345,-72.284,41.301,1672.459,20010621_045037,1.200000,367.7263,0.000000
3,KOKX20010621_085627,-23.463,0.163,459.014,506.266,16.552,-71.934,39.933,8276.083,20010621_045627,1.200000,237.4634,0.000000
1,KOKX20010626_103830,77.107,0.154,417.474,231.031,18.066,-72.164,41.174,9033.104,20010626_063830,1.200000,44211.8704,0.061567
1,KOKX20010627_085422,-27.408,0.061,98.577,357.234,3.819,-74.054,40.602,1909.341,20010627_045422,1.200000,3876.3553,0.000000
2,KOKX20010627_101619,54.542,0.273,413.022,202.498,24.891,-72.190,41.303,12445.728,20010627_061619,1.200000,42144.6246,0.000984
2,KOKX20010627_102209,60.375,-1.000,413.022,202.498,34.166,-72.190,41.303,17083.228,20010627_062209,1.200000,81327.6757,0.005086
2,KOKX20010627_102801,66.242,0.054,416.757,207.341,27.056,-72.168,41.281,13527.866,20010627_062801,1.200000,52367.1550,0.003922
1,KOKX20010628_090647,-15.401,0.125,367.288,410.614,1.731,-72.468,40.367,865.587,20010628_050647,1.200000,165.4484,0.000000
2,KOKX20010628_094719,25.133,0.068,407.346,409.221,2.394,-72.232,40.372,1196.756,20010628_054719,1.200000,3382.4024,0.000000
1,KOKX20010629_094859,26.364,0.064,323.881,178.195,1.734,-72.722,41.414,866.951,20010629_054859,1.200000,697.1762,0.000000
6,KOKX20010701_103920,75.764,0.232,448.401,495.415,32.763,-71.996,39.982,16381.676,20010701_063920,1.200000,363.5492,0.000000
6,KOKX20010701_104420,80.764,0.228,449.522,491.617,39.065,-71.989,39.999,19532.527,20010701_064420,1.200000,1285.2344,0.000000
6,KOKX20010701_104922,85.797,0.100,455.460,476.198,39.081,-71.953,40.069,19540.682,20010701_064922,1.200000,2077.6731,0.000000
1,KOKX20010701_090912,-14.370,0.387,218.513,439.390,10.706,-73.343,40.237,5352.839,20010701_050912,1.200000,270.7335,0.000000
1,KOKX20010701_091414,-9.336,-1.000,218.513,439.390,18.709,-73.343,40.237,9354.339,20010701_051414,1.200000,433.1719,0.000000
1,KOKX20010701_091915,-4.320,0.057,223.027,437.990,23.285,-73.317,40.243,11642.717,20010701_051915,1.200000,537.3505,0.000000
2,KOKX20010701_092914,5.664,0.063,287.709,563.827,38.811,-72.936,39.678,19405.594,20010701_052914,1.200000,5568.7932,0.000000
2,KOKX20010701_093414,10.664,0.096,290.683,562.308,44.827,-72.919,39.684,22413.519,20010701_053414,1.200000,3394.8203,0.000000
2,KOKX20010701_093915,15.680,0.066,300.505,546.490,32.665,-72.861,39.756,16332.554,20010701_053915,1.200000,3418.6377,0.000000
