track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals
KSJT20240101-1,KSJT20240101_223312_V06,0,0.483,1.200,1384,7,69707.694
KSJT20240101-1,KSJT20240101_223312_V06,2,0.879,1.200,1384,0,581.183
KSJT20240101-1,KSJT20240101_223312_V06,4,1.318,1.200,1379,0,383.028
KSJT20240101-1,KSJT20240101_223312_V06,6,1.802,1.200,689,0,15.770
KSJT20240101-1,KSJT20240101_223312_V06,7,2.417,1.200,690,0,4.456
KSJT20240101-1,KSJT20240101_223312_V06,8,3.120,1.200,686,0,1.887
KSJT20240101-1,KSJT20240101_223312_V06,9,3.999,1.200,693,0,5.691
KSJT20240101-2,KSJT20240102_000250_V06,0,0.483,1.200,12491,0,286.082
KSJT20240101-2,KSJT20240102_000250_V06,2,0.879,1.200,12494,0,8.938
KSJT20240101-2,KSJT20240102_000250_V06,4,1.318,1.200,12494,0,0.386
KSJT20240101-2,KSJT20240102_000250_V06,6,1.802,1.200,6243,0,0.133
KSJT20240101-2,KSJT20240102_000250_V06,7,2.417,1.200,6247,0,0.149
KSJT20240101-2,KSJT20240102_000250_V06,8,3.120,1.200,6250,0,0.197
KSJT20240101-2,KSJT20240102_000250_V06,9,3.999,1.200,6261,0,0.226
KSJT20240101-2,KSJT20240102_000250_V06,10,5.098,1.200,6277,0,0.206
KSJT20240101-2,KSJT20240102_000250_V06,11,6.416,1.200,6296,0,0.222
KSJT20240104-2,KSJT20240104_232646_V06,0,0.483,1.200,934,0,1465.882
KSJT20240104-2,KSJT20240104_232646_V06,2,0.879,1.200,936,0,8.470
KSJT20240104-2,KSJT20240104_232646_V06,4,1.318,1.200,936,0,1.997
KSJT20240104-2,KSJT20240104_232646_V06,6,1.802,1.200,467,0,0.462
KSJT20240104-2,KSJT20240104_232646_V06,7,2.417,1.200,471,0,0.506
KSJT20240104-2,KSJT20240104_232646_V06,8,3.120,1.200,470,0,0.105
KSJT20240104-2,KSJT20240104_232646_V06,9,3.999,1.200,470,0,0.041
KSJT20240104-2,KSJT20240104_232646_V06,10,5.098,1.200,472,0,0.042
KSJT20240104-2,KSJT20240104_232646_V06,11,6.416,1.200,473,0,0.042
KSJT20240104-2,KSJT20240104_233016_V06,0,0.483,1.200,3294,0,997.951
KSJT20240104-2,KSJT20240104_233016_V06,2,0.879,1.200,3296,0,15.210
KSJT20240104-2,KSJT20240104_233016_V06,4,1.318,1.200,3301,0,6.564
KSJT20240104-2,KSJT20240104_233016_V06,6,1.802,1.200,1643,0,1.275
KSJT20240104-2,KSJT20240104_233016_V06,7,2.417,1.200,1644,0,1.264
KSJT20240104-2,KSJT20240104_233016_V06,8,3.120,1.200,1648,0,0.614
KSJT20240104-2,KSJT20240104_233016_V06,9,3.999,1.200,1651,0,0.266
KSJT20240104-2,KSJT20240104_233016_V06,10,5.098,1.200,1648,0,0.163
KSJT20240104-2,KSJT20240104_233016_V06,11,6.416,1.200,1652,0,0.238
KSJT20240105-1,KSJT20240106_001806_V06,0,0.483,1.200,5546,0,2011.144
KSJT20240105-1,KSJT20240106_001806_V06,2,0.879,1.200,5548,0,2320.568
KSJT20240105-1,KSJT20240106_001806_V06,4,1.318,1.200,5550,0,252.902
KSJT20240106-2,KSJT20240107_010453_V06,0,0.483,1.200,10582,106,108528.803
KSJT20240106-2,KSJT20240107_010453_V06,2,0.879,1.200,10587,6,34915.540
KSJT20240106-2,KSJT20240107_010453_V06,4,1.318,1.200,10595,0,1345.593
KSJT20240106-2,KSJT20240107_010453_V06,6,1.802,1.200,5296,0,42.487
KSJT20240106-2,KSJT20240107_010453_V06,7,2.417,1.200,5303,0,24.242
KSJT20240106-2,KSJT20240107_010453_V06,8,3.120,1.200,5302,0,10.197
KSJT20240106-2,KSJT20240107_010453_V06,9,3.999,1.200,5310,0,19.319
KSJT20240107-1,KSJT20240108_013220_V06,0,0.483,1.200,4725,0,19202.037
KSJT20240107-1,KSJT20240108_013220_V06,2,0.879,1.200,4726,0,936.930
KSJT20240107-1,KSJT20240108_013220_V06,4,1.318,1.200,4725,0,43.978
KSJT20240107-1,KSJT20240108_013220_V06,6,1.802,1.200,2363,0,4.855
KSJT20240107-1,KSJT20240108_013220_V06,7,2.417,1.200,2359,0,3.006
KSJT20240107-1,KSJT20240108_013220_V06,8,3.120,1.200,2365,0,1.489
KSJT20240107-1,KSJT20240108_013220_V06,9,3.999,1.200,2370,0,0.569
KSJT20240107-1,KSJT20240108_013220_V06,10,5.098,1.200,2373,0,0.798
KSJT20240108-1,KSJT20240108_222653_V06,0,0.483,1.200,304,0,4338.672
KSJT20240108-1,KSJT20240108_222653_V06,2,0.879,1.200,303,0,67.844
KSJT20240108-1,KSJT20240108_222653_V06,4,1.318,1.200,303,0,0.209
KSJT20240108-1,KSJT20240108_222653_V06,6,1.802,1.200,152,0,0.053
KSJT20240108-1,KSJT20240108_222653_V06,7,2.417,1.200,151,0,0.053
KSJT20240108-1,KSJT20240108_222653_V06,8,3.120,1.200,150,0,0.053
KSJT20240108-1,KSJT20240108_222653_V06,9,3.999,1.200,150,0,0.053
KSJT20240108-6,KSJT20240109_011521_V06,0,0.483,1.200,5104,0,1800.451
KSJT20240108-6,KSJT20240109_011521_V06,2,0.879,1.200,5103,0,31.257
KSJT20240108-6,KSJT20240109_011521_V06,4,1.318,1.200,5106,0,6.393
KSJT20240108-6,KSJT20240109_011521_V06,6,1.802,1.200,2548,0,1.063
KSJT20240108-6,KSJT20240109_011521_V06,7,2.417,1.200,2550,0,0.646
KSJT20240108-6,KSJT20240109_011521_V06,8,3.120,1.200,2554,0,0.479
KSJT20240108-6,KSJT20240109_011521_V06,9,3.999,1.200,2555,0,0.584
KSJT20240108-6,KSJT20240109_011521_V06,10,5.098,1.200,2557,0,0.864
KSJT20240108-6,KSJT20240109_011521_V06,11,6.416,1.200,2565,0,0.390
KSJT20240108-7,KSJT20240109_011521_V06,0,0.483,1.200,1206,0,1715.583
KSJT20240108-7,KSJT20240109_011521_V06,2,0.879,1.200,1206,0,206.884
KSJT20240108-7,KSJT20240109_011521_V06,4,1.318,1.200,1205,0,14.138
KSJT20240108-7,KSJT20240109_011521_V06,6,1.802,1.200,602,0,0.734
KSJT20240108-7,KSJT20240109_011521_V06,7,2.417,1.200,601,0,0.214
KSJT20240108-7,KSJT20240109_011521_V06,8,3.120,1.200,602,0,0.374
KSJT20240108-7,KSJT20240109_011521_V06,9,3.999,1.200,603,0,0.083
KSJT20240108-7,KSJT20240109_011521_V06,10,5.098,1.200,602,0,0.153
KSJT20240108-7,KSJT20240109_011521_V06,11,6.416,1.200,606,0,0.135
KSJT20240110-1,KSJT20240111_021549_V06,0,0.483,1.200,445,2,22792.349
KSJT20240110-1,KSJT20240111_021549_V06,2,0.879,1.200,445,0,5078.366
KSJT20240110-1,KSJT20240111_021549_V06,4,1.318,1.200,445,0,91.144
KSJT20240110-1,KSJT20240111_021549_V06,6,1.802,1.200,222,0,1.703
KSJT20240110-1,KSJT20240111_021549_V06,7,2.417,1.200,220,0,0.059
KSJT20240110-1,KSJT20240111_021549_V06,8,3.120,1.200,218,0,0.928
KSJT20240110-1,KSJT20240111_021549_V06,9,3.999,1.200,221,0,0.376
KSJT20240110-1,KSJT20240111_021549_V06,10,5.098,1.200,223,0,0.689
KSJT20240111-2,KSJT20240112_003128_V06,0,0.483,1.200,1018,27,114541.493
KSJT20240111-2,KSJT20240112_003128_V06,2,0.879,1.200,1022,0,7029.219
KSJT20240111-2,KSJT20240112_003128_V06,4,1.318,1.200,1024,0,28.955
KSJT20240111-2,KSJT20240112_003128_V06,6,1.802,1.200,505,0,0.166
KSJT20240111-2,KSJT20240112_003128_V06,7,2.417,1.200,507,0,0.167
KSJT20240111-2,KSJT20240112_003128_V06,8,3.120,1.200,507,0,0.167
KSJT20240111-2,KSJT20240112_003128_V06,9,3.999,1.200,507,0,0.168
KSJT20240111-3,KSJT20240112_003810_V06,0,0.483,1.200,61,0,20707.458
KSJT20240111-3,KSJT20240112_003810_V06,2,0.879,1.200,61,0,43.879
KSJT20240111-3,KSJT20240112_003810_V06,4,1.318,1.200,61,0,0.030
KSJT20240111-3,KSJT20240112_003810_V06,6,1.802,1.200,32,0,0.032
KSJT20240111-6,KSJT20240112_003810_V06,0,0.483,1.200,11371,45,62333.356
KSJT20240111-6,KSJT20240112_003810_V06,2,0.879,1.200,11373,4,14329.751
KSJT20240111-6,KSJT20240112_003810_V06,4,1.318,1.200,11379,0,170.880
KSJT20240111-6,KSJT20240112_003810_V06,6,1.802,1.200,5692,0,40.452
KSJT20240111-6,KSJT20240112_003810_V06,7,2.417,1.200,5693,0,11.083
KSJT20240111-6,KSJT20240112_003810_V06,8,3.120,1.200,5701,0,4.202
KSJT20240111-6,KSJT20240112_003810_V06,9,3.999,1.200,5703,0,2.717
KSJT20240111-6,KSJT20240112_003810_V06,10,5.098,1.200,5710,0,2.414
KSJT20240111-6,KSJT20240112_004451_V06,0,0.483,1.200,8138,14,51022.528
KSJT20240111-6,KSJT20240112_004451_V06,2,0.879,1.200,8139,0,10293.376
KSJT20240111-6,KSJT20240112_004451_V06,4,1.318,1.200,8142,0,79.410
KSJT20240111-6,KSJT20240112_004451_V06,6,1.802,1.200,4063,0,3.073
KSJT20240111-6,KSJT20240112_004451_V06,7,2.417,1.200,4066,0,3.772
KSJT20240111-6,KSJT20240112_004451_V06,8,3.120,1.200,4070,0,1.618
KSJT20240111-6,KSJT20240112_004451_V06,9,3.999,1.200,4078,0,1.510
KSJT20240111-6,KSJT20240112_004451_V06,10,5.098,1.200,4079,0,1.831
