track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels
1,KDFX20240102_002722_V06,33.422,0.635,409.603,264.025,6.621,-99.715,29.434,3310.429,57678.189,20240101_182722,479177,15
1,KDFX20240102_003416_V06,40.322,0.869,409.564,264.349,10.479,-99.716,29.432,5239.674,57608.919,20240101_183416,479176,15
1,KDFX20240102_004111_V06,47.239,0.900,410.047,266.822,11.538,-99.713,29.421,5769.141,57469.871,20240101_184111,479176,10
1,KDFX20240102_004805_V06,54.139,0.894,408.720,266.045,16.367,-99.720,29.424,8183.293,56949.478,20240101_184805,479177,11
1,KDFX20240102_010201_V06,68.072,0.741,409.862,266.166,27.968,-99.714,29.424,13983.910,57476.937,20240101_190201,479177,31
1,KDFX20240102_010903_V06,75.105,0.232,411.702,265.360,36.568,-99.705,29.428,18283.751,58475.153,20240101_190903,479182,21
4,KDFX20240105_021341_V06,137.585,0.068,34.764,113.409,49.973,-101.656,30.107,24986.504,162146.629,20240104_201341,479175,22
4,KDFX20240105_022044_V06,144.635,0.132,37.920,113.171,58.755,-101.640,30.108,29377.406,160927.990,20240104_202044,479176,22
1,KDFX20240106_003108_V06,34.290,0.088,374.785,387.109,29.628,-99.897,28.879,14814.146,57403.917,20240105_183108,479176,13
2,KDFX20240106_005214_V06,55.390,0.080,423.513,274.465,6.698,-99.644,29.386,3349.041,63062.327,20240105_185214,479176,7
4,KDFX20240106_021613_V06,139.374,0.061,320.271,323.987,10.959,-100.176,29.164,5479.481,15702.584,20240105_201613,479178,39
1,KDFX20240106_223326_V06,-84.166,0.056,218.720,379.257,2.802,-100.697,28.914,1400.824,56762.797,20240106_163326,479178,16
3,KDFX20240108_001812_V06,19.832,0.070,257.906,414.144,3.123,-100.496,28.757,1561.661,60828.935,20240107_181812,479178,23
3,KDFX20240108_002512_V06,26.832,0.262,256.215,413.310,11.675,-100.504,28.761,5837.511,60737.878,20240107_182512,479173,20
3,KDFX20240108_003214_V06,33.865,0.673,254.506,412.076,9.818,-100.513,28.767,4909.065,60478.734,20240107_183214,479177,19
3,KDFX20240108_003915_V06,40.882,0.303,256.778,413.217,18.847,-100.502,28.762,9423.463,60593.238,20240107_183915,479178,17
6,KDFX20240108_003915_V06,40.882,0.070,432.040,191.595,5.360,-99.598,29.760,2679.924,85419.719,20240107_183915,479178,17
6,KDFX20240108_004615_V06,47.882,0.094,431.878,191.779,12.753,-99.599,29.759,6376.747,85299.017,20240107_184615,479175,23
8,KDFX20240108_014212_V06,103.832,0.073,314.654,324.779,8.988,-100.205,29.161,4493.999,14393.863,20240107_194212,479180,20
8,KDFX20240108_014912_V06,110.832,0.079,314.460,324.236,16.000,-100.206,29.163,7999.971,14111.245,20240107_194912,479177,29
5,KDFX20240108_003915_V06,40.882,0.073,474.576,273.728,7.552,-99.381,29.388,3776.150,88270.841,20240107_183915,479178,17
11,KDFX20240108_021715_V06,138.882,0.082,315.569,323.331,8.520,-100.200,29.167,4260.101,14024.387,20240107_201715,479177,20
3,KDFX20240110_010302_V06,63.097,0.272,427.342,275.888,10.370,-99.624,29.380,5184.868,64802.398,20240109_190302,479179,0
4,KDFX20240110_013044_V06,90.797,0.093,443.325,281.794,21.268,-99.542,29.353,10633.930,72238.590,20240109_193044,479177,0
1,KDFX20240111_002637_V06,25.882,0.806,258.749,416.017,8.670,-100.491,28.749,4335.104,61566.137,20240110_182637,479172,12
1,KDFX20240111_003327_V06,32.715,0.391,260.424,415.931,15.061,-100.483,28.749,7530.535,61249.796,20240110_183327,479176,13
1,KDFX20240111_004021_V06,39.615,0.740,262.379,413.481,19.545,-100.473,28.760,9772.459,59777.423,20240110_184021,479177,8
1,KDFX20240111_004716_V06,46.532,0.348,268.557,414.408,20.534,-100.441,28.756,10266.764,59324.942,20240110_184716,479180,14
1,KDFX20240111_010112_V06,60.465,0.154,266.067,413.692,27.509,-100.454,28.760,13754.584,59323.797,20240110_190112,479175,7
5,KDFX20240111_004021_V06,39.615,0.408,505.087,279.848,20.102,-99.224,29.359,10050.877,103037.479,20240110_184021,479177,8
5,KDFX20240111_004716_V06,46.532,0.069,506.342,281.871,29.019,-99.218,29.350,14509.634,103568.525,20240110_184716,479180,14
4,KDFX20240111_002637_V06,25.882,0.061,316.957,320.923,8.473,-100.193,29.178,4236.389,13465.615,20240110_182637,479172,12
6,KDFX20240111_004021_V06,39.615,0.163,175.604,403.690,7.893,-100.917,28.803,3946.556,80972.049,20240110_184021,479177,8
1,KDFX20240112_001907_V06,17.576,0.779,260.488,405.452,8.063,-100.483,28.797,4031.502,56305.872,20240111_181907,479175,5
1,KDFX20240112_002606_V06,24.559,0.922,259.796,406.131,17.602,-100.486,28.794,8800.971,56745.381,20240111_182606,479172,8
1,KDFX20240112_003300_V06,31.459,0.754,263.253,399.894,23.804,-100.469,28.822,11902.021,53219.291,20240111_183300,479175,12
1,KDFX20240112_003954_V06,38.359,0.050,259.266,395.604,25.926,-100.489,28.841,12963.066,51960.177,20240111_183954,479174,14
1,KDFX20240112_004648_V06,45.259,0.059,255.084,391.934,28.725,-100.510,28.858,14362.453,51159.962,20240111_184648,479176,19
6,KDFX20240112_002606_V06,24.559,0.872,491.751,277.014,13.324,-99.293,29.373,6662.048,96561.709,20240111_182606,479172,8
6,KDFX20240112_003300_V06,31.459,0.833,493.955,271.451,20.720,-99.281,29.398,10359.996,98022.550,20240111_183300,479175,12
6,KDFX20240112_003954_V06,38.359,0.453,496.738,265.617,26.438,-99.267,29.424,13218.949,99859.992,20240111_183954,479174,14
6,KDFX20240112_004648_V06,45.259,0.142,495.866,261.411,36.583,-99.271,29.443,18291.510,99815.403,20240111_184648,479176,19
6,KDFX20240112_010035_V06,59.042,0.069,497.631,251.408,51.265,-99.261,29.488,25632.282,101758.552,20240111_190035,479172,13
10,KDFX20240112_003954_V06,38.359,0.241,369.728,329.293,5.582,-99.922,29.140,2790.802,37815.455,20240111_183954,479174,14
10,KDFX20240112_004648_V06,45.259,0.344,370.473,328.439,13.010,-99.918,29.144,6504.812,37997.435,20240111_184648,479176,19
10,KDFX20240112_010035_V06,59.042,0.260,327.754,323.876,16.414,-100.138,29.165,8206.937,18305.334,20240111_190035,479172,13
10,KDFX20240112_010734_V06,66.026,0.298,324.768,327.043,12.163,-100.153,29.150,6081.707,18335.575,20240111_190734,479178,20
9,KDFX20240112_003954_V06,38.359,0.856,440.611,192.933,8.227,-99.553,29.753,4113.739,88367.077,20240111_183954,479174,14
9,KDFX20240112_004648_V06,45.259,0.264,441.612,191.285,15.933,-99.548,29.761,7966.626,89264.768,20240111_184648,479176,19
8,KDFX20240112_003300_V06,31.459,0.108,444.049,286.677,8.956,-99.539,29.331,4478.180,72331.798,20240111_183300,479175,12
3,KDFX20240113_002718_V06,24.945,0.598,258.518,422.555,6.842,-100.493,28.719,3420.952,64692.667,20240112_182718,479175,6
3,KDFX20240113_003418_V06,31.945,0.845,257.517,422.051,14.250,-100.498,28.722,7124.993,64616.527,20240112_183418,479178,6
3,KDFX20240113_004120_V06,38.978,0.761,257.408,420.997,16.914,-100.498,28.726,8456.935,64137.218,20240112_184120,479178,0
3,KDFX20240113_004820_V06,45.978,0.084,258.387,421.256,22.053,-100.493,28.725,11026.606,64098.826,20240112_184820,479175,0
1,KDFX20240112_223510_V06,-87.189,0.153,289.933,178.424,1.966,-100.332,29.821,982.765,60995.778,20240112_163510,479176,12
1,KDFX20240112_224210_V06,-80.189,0.052,290.214,178.969,9.011,-100.331,29.818,4505.253,60712.988,20240112_164210,479176,16
1,KDFX20240114_002937_V06,26.441,0.084,257.771,412.297,5.563,-100.496,28.766,2781.279,59987.583,20240113_182937,479172,14
1,KDFX20240114_003638_V06,33.457,0.585,256.300,410.048,12.258,-100.504,28.776,6129.205,59203.291,20240113_183638,479179,18
1,KDFX20240114_004339_V06,40.474,0.055,254.055,405.051,15.048,-100.516,28.798,7523.898,57329.650,20240113_184339,479175,19
