track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals
KSJT20250107-2,KSJT20250107_231005_V06,4,1.318,1.200,8528,0,5151.648
KSJT20250108-4,KSJT20250109_003302_V06,0,0.483,1.200,1073,18,57549.344
KSJT20250108-4,KSJT20250109_003302_V06,2,0.879,1.200,1073,4,9342.543
KSJT20250108-4,KSJT20250109_003302_V06,4,1.318,1.200,1075,1,5256.512
KSJT20250108-4,KSJT20250109_003302_V06,6,1.802,1.200,535,0,293.130
KSJT20250108-4,KSJT20250109_003302_V06,7,2.417,1.200,539,0,9.333
KSJT20250108-4,KSJT20250109_003302_V06,8,3.120,1.200,539,0,36.718
KSJT20250108-4,KSJT20250109_003302_V06,9,3.999,1.200,536,0,133.841
KSJT20250108-6,KSJT20250109_005112_V06,0,0.483,1.200,4498,0,25695.771
KSJT20250108-6,KSJT20250109_005112_V06,2,0.879,1.200,4503,0,70350.584
KSJT20250108-9,KSJT20250109_014542_V06,0,0.483,1.200,12574,0,118297.781
KSJT20250108-9,KSJT20250109_014542_V06,2,0.879,1.200,12564,0,87567.699
KSJT20250108-9,KSJT20250109_014542_V06,4,1.318,1.200,12572,0,60406.523
KSJT20250109-1,KSJT20250109_224919_V06,0,0.483,1.200,921,0,534.258
KSJT20250109-1,KSJT20250109_224919_V06,2,0.879,1.200,925,0,14.783
KSJT20250109-1,KSJT20250109_224919_V06,4,1.318,1.200,921,0,1.044
KSJT20250109-1,KSJT20250109_224919_V06,6,1.802,1.200,461,0,0.093
KSJT20250109-1,KSJT20250109_224919_V06,7,2.417,1.200,462,0,0.093
KSJT20250109-1,KSJT20250109_224919_V06,8,3.120,1.200,464,0,0.094
KSJT20250109-1,KSJT20250109_224919_V06,9,3.999,1.200,463,0,45.505
KSJT20250109-1,KSJT20250109_224919_V06,10,5.098,1.200,465,0,13.333
KSJT20250109-3,KSJT20250110_013110_V06,0,0.483,1.200,2401,30,117765.801
KSJT20250109-3,KSJT20250110_013110_V06,2,0.879,1.200,2395,0,2004.606
KSJT20250109-3,KSJT20250110_013110_V06,4,1.318,1.200,2403,0,328.956
KSJT20250109-3,KSJT20250110_013110_V06,6,1.802,1.200,1200,0,10.910
KSJT20250109-3,KSJT20250110_013110_V06,7,2.417,1.200,1201,0,6.060
KSJT20250109-3,KSJT20250110_013110_V06,8,3.120,1.200,1202,0,30.070
KSJT20250109-3,KSJT20250110_013110_V06,9,3.999,1.200,1206,0,74.100
KSJT20250113-3,KSJT20250114_014945_V06,0,0.483,1.200,2037,9,55508.845
KSJT20250113-3,KSJT20250114_014945_V06,2,0.879,1.200,2039,0,3197.880
KSJT20250113-3,KSJT20250114_014945_V06,4,1.318,1.200,2040,0,15.637
KSJT20250113-3,KSJT20250114_014945_V06,6,1.802,1.200,1020,0,0.320
KSJT20250113-3,KSJT20250114_014945_V06,7,2.417,1.200,1020,0,0.320
KSJT20250113-3,KSJT20250114_014945_V06,8,3.120,1.200,1021,0,0.321
KSJT20250113-3,KSJT20250114_014945_V06,9,3.999,1.200,1023,0,0.322
KSJT20250113-3,KSJT20250114_020319_V06,0,0.483,1.200,4418,26,63254.003
KSJT20250113-3,KSJT20250114_020319_V06,2,0.879,1.200,4419,0,14675.949
KSJT20250113-3,KSJT20250114_020319_V06,4,1.318,1.200,4422,0,21.395
KSJT20250113-3,KSJT20250114_020319_V06,6,1.802,1.200,2216,0,4.744
KSJT20250113-3,KSJT20250114_020319_V06,7,2.417,1.200,2217,0,1.451
KSJT20250113-3,KSJT20250114_020319_V06,8,3.120,1.200,2218,0,0.702
KSJT20250113-3,KSJT20250114_020319_V06,9,3.999,1.200,2220,0,0.704
KSJT20250113-3,KSJT20250114_021005_V06,0,0.483,1.200,1418,25,93123.003
KSJT20250113-3,KSJT20250114_021005_V06,2,0.879,1.200,1419,0,18694.268
KSJT20250113-3,KSJT20250114_021005_V06,4,1.318,1.200,1418,0,53.262
KSJT20250113-3,KSJT20250114_021005_V06,6,1.802,1.200,709,0,10.328
KSJT20250113-3,KSJT20250114_021005_V06,7,2.417,1.200,711,0,0.237
KSJT20250113-3,KSJT20250114_021005_V06,8,3.120,1.200,713,0,0.238
KSJT20250113-3,KSJT20250114_021005_V06,9,3.999,1.200,715,0,0.239
KSJT20250113-1,KSJT20250113_223308_V06,0,0.483,1.200,65,0,291.590
KSJT20250113-1,KSJT20250113_223308_V06,2,0.879,1.200,65,0,8.883
KSJT20250113-1,KSJT20250113_223308_V06,4,1.318,1.200,64,0,0.018
KSJT20250113-1,KSJT20250113_223308_V06,6,1.802,1.200,33,0,0.018
KSJT20250113-1,KSJT20250113_223308_V06,7,2.417,1.200,32,0,0.018
KSJT20250113-1,KSJT20250113_223308_V06,8,3.120,1.200,32,0,0.018
KSJT20250113-2,KSJT20250114_010848_V06,0,0.483,1.200,1380,8,50914.197
KSJT20250113-2,KSJT20250114_010848_V06,2,0.879,1.200,1380,0,5526.064
KSJT20250113-2,KSJT20250114_010848_V06,4,1.318,1.200,1379,0,19.381
KSJT20250113-2,KSJT20250114_010848_V06,6,1.802,1.200,692,0,0.220
KSJT20250113-2,KSJT20250114_010848_V06,7,2.417,1.200,692,0,0.220
KSJT20250113-2,KSJT20250114_010848_V06,8,3.120,1.200,692,0,0.221
KSJT20250113-2,KSJT20250114_010848_V06,9,3.999,1.200,694,0,0.222
KSJT20250118-1,KSJT20250118_223905_V06,0,0.483,1.200,991,0,249.909
KSJT20250118-1,KSJT20250118_223905_V06,2,0.879,1.200,992,0,24.145
KSJT20250118-1,KSJT20250118_223905_V06,4,1.318,1.200,992,0,1.218
KSJT20250118-1,KSJT20250118_223905_V06,6,1.802,1.200,495,0,0.073
KSJT20250118-1,KSJT20250118_223905_V06,7,2.417,1.200,498,0,0.151
KSJT20250118-1,KSJT20250118_223905_V06,8,3.120,1.200,498,0,0.074
KSJT20250118-1,KSJT20250118_223905_V06,9,3.999,1.200,501,0,0.074
KSJT20250118-1,KSJT20250118_223905_V06,10,5.098,1.200,499,0,0.074
KSJT20250118-1,KSJT20250118_223905_V06,11,6.416,1.200,498,0,0.133
KSJT20250119-1,KSJT20250120_002522_V06,0,0.483,1.200,165,0,270.247
KSJT20250119-1,KSJT20250120_002522_V06,2,0.879,1.200,167,0,0.739
KSJT20250119-1,KSJT20250120_002522_V06,4,1.318,1.200,168,0,0.049
KSJT20250119-1,KSJT20250120_002522_V06,6,1.802,1.200,83,0,0.049
KSJT20250119-1,KSJT20250120_002522_V06,7,2.417,1.200,83,0,0.049
KSJT20250119-1,KSJT20250120_002522_V06,8,3.120,1.200,86,0,0.051
KSJT20250119-2,KSJT20250120_022205_V06,0,0.483,1.200,1674,2,13909.275
KSJT20250119-2,KSJT20250120_022205_V06,2,0.879,1.200,1674,0,655.961
KSJT20250119-2,KSJT20250120_022205_V06,4,1.318,1.200,1671,0,2.232
KSJT20250119-2,KSJT20250120_022205_V06,6,1.802,1.200,834,0,0.281
KSJT20250119-2,KSJT20250120_022205_V06,7,2.417,1.200,837,0,0.282
