track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals
KDFX20240101-1,KDFX20240102_002722_V06,0,0.483,1.200,505,0,230.784
KDFX20240101-1,KDFX20240102_002722_V06,2,0.879,1.200,503,0,84.544
KDFX20240101-1,KDFX20240102_002722_V06,4,1.318,1.200,503,0,2.046
KDFX20240101-1,KDFX20240102_002722_V06,6,1.802,1.200,252,0,0.076
KDFX20240101-1,KDFX20240102_002722_V06,7,2.417,1.200,252,0,0.076
KDFX20240101-1,KDFX20240102_002722_V06,8,3.120,1.200,253,0,0.077
KDFX20240101-1,KDFX20240102_002722_V06,9,3.999,1.200,253,0,0.077
KDFX20240101-1,KDFX20240102_003416_V06,0,0.483,1.200,1258,0,1527.203
KDFX20240101-1,KDFX20240102_003416_V06,2,0.879,1.200,1261,0,863.384
KDFX20240101-1,KDFX20240102_003416_V06,4,1.318,1.200,1259,0,124.077
KDFX20240101-1,KDFX20240102_003416_V06,6,1.802,1.200,631,0,0.190
KDFX20240101-1,KDFX20240102_003416_V06,7,2.417,1.200,631,0,0.191
KDFX20240101-1,KDFX20240102_003416_V06,8,3.120,1.200,634,0,0.192
KDFX20240101-1,KDFX20240102_003416_V06,9,3.999,1.200,633,0,0.192
KDFX20240101-1,KDFX20240102_004111_V06,0,0.483,1.200,1533,0,3337.069
KDFX20240101-1,KDFX20240102_004111_V06,2,0.879,1.200,1537,0,2072.577
KDFX20240101-1,KDFX20240102_004111_V06,4,1.318,1.200,1534,0,530.139
KDFX20240101-1,KDFX20240102_004111_V06,6,1.802,1.200,766,0,13.609
KDFX20240101-1,KDFX20240102_004111_V06,7,2.417,1.200,770,0,0.231
KDFX20240101-1,KDFX20240102_004111_V06,8,3.120,1.200,770,0,0.232
KDFX20240101-1,KDFX20240102_004111_V06,9,3.999,1.200,774,0,0.234
KDFX20240101-1,KDFX20240102_004805_V06,0,0.483,1.200,3118,0,4731.442
KDFX20240101-1,KDFX20240102_004805_V06,2,0.879,1.200,3120,0,4069.417
KDFX20240101-1,KDFX20240102_004805_V06,4,1.318,1.200,3124,0,1549.456
KDFX20240101-1,KDFX20240102_004805_V06,6,1.802,1.200,1559,0,38.790
KDFX20240101-1,KDFX20240102_004805_V06,7,2.417,1.200,1560,0,0.460
KDFX20240101-1,KDFX20240102_004805_V06,8,3.120,1.200,1560,0,0.461
KDFX20240101-1,KDFX20240102_004805_V06,9,3.999,1.200,1564,0,0.463
KDFX20240101-1,KDFX20240102_010201_V06,0,0.483,1.200,9157,0,6518.959
KDFX20240101-1,KDFX20240102_010201_V06,2,0.879,1.200,9158,0,8704.002
KDFX20240101-1,KDFX20240102_010201_V06,4,1.318,1.200,9152,0,5739.660
KDFX20240101-1,KDFX20240102_010201_V06,6,1.802,1.200,4586,0,550.630
KDFX20240101-1,KDFX20240102_010201_V06,7,2.417,1.200,4592,0,2.085
KDFX20240101-1,KDFX20240102_010201_V06,8,3.120,1.200,4594,0,1.382
KDFX20240101-1,KDFX20240102_010201_V06,9,3.999,1.200,4602,0,1.388
KDFX20240101-1,KDFX20240102_010903_V06,0,0.483,1.200,15457,0,8481.230
KDFX20240101-1,KDFX20240102_010903_V06,2,0.879,1.200,15463,0,11925.289
KDFX20240101-1,KDFX20240102_010903_V06,4,1.318,1.200,15466,0,7866.608
KDFX20240101-1,KDFX20240102_010903_V06,6,1.802,1.200,7733,0,569.423
KDFX20240101-1,KDFX20240102_010903_V06,7,2.417,1.200,7743,0,5.680
KDFX20240101-1,KDFX20240102_010903_V06,8,3.120,1.200,7750,0,2.828
KDFX20240101-1,KDFX20240102_010903_V06,9,3.999,1.200,7760,0,2.422
KDFX20240104-4,KDFX20240105_021341_V06,0,0.483,1.200,10234,0,52676.610
KDFX20240104-4,KDFX20240105_021341_V06,2,0.879,1.200,10238,0,47471.906
KDFX20240104-4,KDFX20240105_022044_V06,0,0.483,1.200,14293,0,53702.317
KDFX20240104-4,KDFX20240105_022044_V06,2,0.879,1.200,14297,0,49552.952
KDFX20240105-1,KDFX20240106_003108_V06,0,0.483,1.200,10280,0,675.626
KDFX20240105-1,KDFX20240106_003108_V06,2,0.879,1.200,10280,0,294.643
KDFX20240105-1,KDFX20240106_003108_V06,4,1.318,1.200,10283,0,4.717
KDFX20240105-1,KDFX20240106_003108_V06,6,1.802,1.200,5142,0,1.538
KDFX20240105-1,KDFX20240106_003108_V06,7,2.417,1.200,5146,0,1.541
KDFX20240105-1,KDFX20240106_003108_V06,8,3.120,1.200,5147,0,1.543
KDFX20240105-1,KDFX20240106_003108_V06,9,3.999,1.200,5156,0,1.548
KDFX20240105-2,KDFX20240106_005214_V06,0,0.483,1.200,470,0,989.321
KDFX20240105-2,KDFX20240106_005214_V06,2,0.879,1.200,471,0,250.550
KDFX20240105-2,KDFX20240106_005214_V06,4,1.318,1.200,471,0,5.608
KDFX20240105-2,KDFX20240106_005214_V06,6,1.802,1.200,235,0,0.085
KDFX20240105-2,KDFX20240106_005214_V06,7,2.417,1.200,234,0,0.085
KDFX20240105-2,KDFX20240106_005214_V06,8,3.120,1.200,235,0,0.085
KDFX20240105-2,KDFX20240106_005214_V06,9,3.999,1.200,236,0,0.086
KDFX20240105-4,KDFX20240106_021613_V06,0,0.483,1.200,5235,39,4951.408
KDFX20240105-4,KDFX20240106_021613_V06,2,0.879,1.200,5235,15,3920.239
KDFX20240105-4,KDFX20240106_021613_V06,4,1.318,1.200,5238,2,532.629
KDFX20240105-4,KDFX20240106_021613_V06,6,1.802,1.200,2619,0,28.464
KDFX20240105-4,KDFX20240106_021613_V06,7,2.417,1.200,2620,0,17.415
KDFX20240105-4,KDFX20240106_021613_V06,8,3.120,1.200,2620,0,18.455
KDFX20240105-4,KDFX20240106_021613_V06,9,3.999,1.200,2628,0,4.212
KDFX20240105-4,KDFX20240106_021613_V06,10,5.098,1.200,2638,0,2.376
KDFX20240105-4,KDFX20240106_021613_V06,11,6.416,1.200,2636,0,1.480
KDFX20240106-1,KDFX20240106_223326_V06,0,0.483,1.200,92,0,81.379
KDFX20240106-1,KDFX20240106_223326_V06,2,0.879,1.200,92,0,25.020
KDFX20240106-1,KDFX20240106_223326_V06,4,1.318,1.200,92,0,3.543
KDFX20240106-1,KDFX20240106_223326_V06,6,1.802,1.200,46,0,0.013
KDFX20240106-1,KDFX20240106_223326_V06,7,2.417,1.200,46,0,0.013
KDFX20240106-1,KDFX20240106_223326_V06,8,3.120,1.200,45,0,0.013
