track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels
20,KSJT20240721_020125_V06,16.328,0.073,258.553,15.085,25.117,-100.713,32.656,12558.746,143957.051,20240720_210125,479181,3761
21,KSJT20240721_020125_V06,16.328,0.480,28.812,211.671,5.609,-101.924,31.761,2804.661,142605.101,20240720_210125,479181,3761
21,KSJT20240721_020559_V06,20.895,0.220,28.365,211.323,11.885,-101.926,31.763,5942.640,142871.535,20240720_210559,479179,3493
25,KSJT20240721_022006_V06,35.012,0.061,41.720,390.253,46.037,-101.844,30.957,23018.402,136797.578,20240720_212006,479187,3116
25,KSJT20240721_022441_V06,39.595,0.063,42.139,392.413,51.047,-101.841,30.947,25523.492,136960.440,20240720_212441,479184,2783
28,KSJT20240721_022441_V06,39.595,0.088,296.086,456.051,14.326,-100.513,30.667,7162.764,78049.810,20240720_212441,479184,2783
28,KSJT20240721_022922_V06,44.278,0.292,296.455,455.272,20.008,-100.511,30.671,10004.066,77656.029,20240720_212922,479178,2460
28,KSJT20240721_023405_V06,48.995,0.145,293.027,456.237,18.003,-100.529,30.667,9001.295,78196.309,20240720_213405,479179,2136
7,KSJT20240721_010038_V06,-44.455,0.102,283.989,552.397,23.587,-100.575,30.233,11793.283,126452.231,20240720_200038,479191,8198
23,KSJT20240721_020125_V06,16.328,0.065,397.453,115.467,9.851,-99.975,32.202,4925.636,104342.628,20240720_210125,479181,3761
35,KSJT20240721_024811_V06,63.095,0.065,509.603,364.602,19.302,-99.394,31.075,9650.881,109666.152,20240720_214811,479174,1404
38,KSJT20240721_032002_V06,94.945,0.145,153.000,484.668,48.956,-101.258,30.536,24478.027,118016.251,20240720_222002,479186,821
38,KSJT20240721_032444_V06,99.645,-1.000,153.000,484.668,56.429,-101.258,30.536,28214.527,118016.251,20240720_222444,479178,998
38,KSJT20240721_032926_V06,104.345,0.087,126.345,479.752,40.043,-101.397,30.557,20021.511,124966.687,20240720_222926,479181,736
40,KSJT20240721_033843_V06,113.628,0.124,136.994,360.475,35.409,-101.346,31.096,17704.590,86931.500,20240720_223843,479194,513
41,KSJT20240721_040109_V06,136.062,0.061,272.292,504.142,26.486,-100.636,30.450,13242.978,103007.104,20240720_230109,479187,1426
21,KSJT20240722_013331_V06,-11.039,0.133,17.737,211.144,17.527,-101.982,31.763,8763.659,147959.143,20240721_203331,479183,2243
21,KSJT20240722_013800_V06,-6.556,-1.000,17.737,211.144,24.656,-101.982,31.763,12327.909,147959.143,20240721_203800,479197,2445
21,KSJT20240722_014230_V06,-2.056,0.172,21.881,209.833,26.474,-101.960,31.769,13236.824,146184.917,20240721_204230,479183,2050
21,KSJT20240722_014701_V06,2.461,-1.000,24.935,208.868,29.722,-101.944,31.774,14860.891,144884.310,20240721_204701,479182,1774
21,KSJT20240722_015131_V06,6.961,0.331,26.552,207.709,33.656,-101.936,31.779,16828.053,144301.194,20240721_205131,479186,1617
21,KSJT20240722_020029_V06,15.927,0.360,34.185,208.126,32.549,-101.895,31.778,16274.420,140622.244,20240721_210029,479180,2360
21,KSJT20240722_020459_V06,20.427,-1.000,37.785,208.136,32.643,-101.876,31.778,16321.443,138920.381,20240721_210459,479181,2555
21,KSJT20240722_020929_V06,24.927,-1.000,41.386,208.146,32.737,-101.857,31.778,16368.467,137221.028,20240721_210929,479182,2332
21,KSJT20240722_021359_V06,29.427,0.051,26.701,219.198,30.562,-101.934,31.727,15281.124,142496.733,20240721_211359,479189,1356
6,KSJT20240722_004212_V06,-62.356,0.300,305.870,178.039,33.513,-100.461,31.921,16756.733,61050.943,20240721_194212,479185,7250
6,KSJT20240722_004655_V06,-57.639,0.388,303.775,178.327,38.584,-100.472,31.920,19292.221,60865.728,20240721_194655,479181,6773
6,KSJT20240722_005137_V06,-52.939,0.321,300.957,178.202,37.372,-100.487,31.920,18685.757,60901.064,20240721_195137,479199,6161
6,KSJT20240722_010102_V06,-43.523,0.093,314.851,155.029,57.661,-100.414,32.025,28830.519,72864.665,20240721_200102,479182,5785
31,KSJT20240722_020459_V06,20.427,0.119,16.469,339.526,22.130,-101.980,31.184,11064.784,143136.468,20240721_210459,479181,2555
31,KSJT20240722_020929_V06,24.927,-1.000,16.469,339.526,29.285,-101.980,31.184,14642.284,143136.468,20240721_210929,479182,2332
31,KSJT20240722_021359_V06,29.427,0.151,19.401,341.560,31.103,-101.964,31.175,15551.443,141829.840,20240721_211359,479189,1356
31,KSJT20240722_021829_V06,33.927,0.181,23.514,341.565,32.702,-101.942,31.175,16350.962,139796.398,20240721_211829,479188,1054
16,KSJT20240722_011930_V06,-25.056,0.147,15.007,203.471,17.678,-101.997,31.798,8838.778,150448.359,20240721_201930,479179,4215
16,KSJT20240722_012413_V06,-20.339,0.078,15.101,204.362,23.185,-101.996,31.794,11592.671,150261.732,20240721_202413,479196,3743
30,KSJT20240722_020029_V06,15.927,0.158,347.332,96.767,9.188,-100.241,32.287,4593.800,104336.047,20240721_210029,479180,2360
30,KSJT20240722_020459_V06,20.427,0.180,347.697,97.130,14.873,-100.239,32.286,7436.385,104200.623,20240721_210459,479181,2555
