track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_weather_pixels,n_highZ_pixels_60,n_highZ_pixels_40,n_animals,n_animals_60,n_animals_40
KDFX20220101-2,KDFX20220102_000414_V06,0,0.483,1.200,517,390,0,0,296.359,296.359,296.359
KDFX20220101-2,KDFX20220102_000414_V06,2,0.879,1.200,517,461,0,0,47.437,47.437,47.437
KDFX20220101-2,KDFX20220102_000414_V06,4,1.318,1.200,517,517,0,0,0.000,0.000,0.000
KDFX20220101-2,KDFX20220102_000414_V06,6,1.802,1.200,241,241,0,0,0.000,0.000,0.000
KDFX20220101-2,KDFX20220102_000414_V06,7,2.417,1.200,241,241,0,0,0.000,0.000,0.000
KDFX20220101-2,KDFX20220102_001119_V06,0,0.483,1.200,1596,831,0,0,3980.378,3980.378,3980.378
KDFX20220101-2,KDFX20220102_001119_V06,2,0.879,1.200,1596,1316,0,0,448.784,448.784,448.784
KDFX20220101-2,KDFX20220102_001119_V06,4,1.318,1.200,1597,1597,0,0,0.000,0.000,0.000
KDFX20220101-2,KDFX20220102_001119_V06,6,1.802,1.200,840,840,0,0,0.000,0.000,0.000
KDFX20220101-2,KDFX20220102_001119_V06,7,2.417,1.200,843,843,0,0,0.000,0.000,0.000
KDFX20220101-2,KDFX20220102_001824_V06,0,0.483,1.200,2922,1387,0,0,7408.518,7408.518,7408.518
KDFX20220101-2,KDFX20220102_001824_V06,2,0.879,1.200,2923,2387,0,0,579.574,579.574,579.574
KDFX20220101-2,KDFX20220102_001824_V06,4,1.318,1.200,2925,2925,0,0,0.000,0.000,0.000
KDFX20220101-2,KDFX20220102_001824_V06,6,1.802,1.200,1414,1414,0,0,0.000,0.000,0.000
KDFX20220101-2,KDFX20220102_001824_V06,7,2.417,1.200,1417,1417,0,0,0.000,0.000,0.000
KDFX20220101-2,KDFX20220102_002528_V06,0,0.483,1.200,4392,2211,0,0,7365.413,7365.413,7365.413
KDFX20220101-2,KDFX20220102_002528_V06,2,0.879,1.200,4393,3645,0,0,721.571,721.571,721.571
KDFX20220101-2,KDFX20220102_002528_V06,4,1.318,1.200,4392,4392,0,0,0.000,0.000,0.000
KDFX20220101-2,KDFX20220102_002528_V06,6,1.802,1.200,2219,2219,0,0,0.000,0.000,0.000
KDFX20220101-2,KDFX20220102_002528_V06,7,2.417,1.200,2221,2221,0,0,0.000,0.000,0.000
KDFX20220101-2,KDFX20220102_003233_V06,0,0.483,1.200,5913,3226,0,0,7613.439,7613.439,7613.439
KDFX20220101-2,KDFX20220102_003233_V06,2,0.879,1.200,5911,5325,0,0,444.746,444.746,444.746
KDFX20220101-2,KDFX20220102_003233_V06,4,1.318,1.200,5911,5911,0,0,0.000,0.000,0.000
KDFX20220101-2,KDFX20220102_003233_V06,6,1.802,1.200,2956,2956,0,0,0.000,0.000,0.000
KDFX20220101-6,KDFX20220102_001824_V06,0,0.483,1.200,752,76,0,0,10015.935,10015.935,10015.935
KDFX20220101-6,KDFX20220102_001824_V06,2,0.879,1.200,753,204,0,0,621.621,621.621,621.621
KDFX20220101-6,KDFX20220102_001824_V06,4,1.318,1.200,752,688,0,0,15.520,15.520,15.520
KDFX20220101-6,KDFX20220102_001824_V06,6,1.802,1.200,376,376,0,0,0.000,0.000,0.000
KDFX20220101-6,KDFX20220102_001824_V06,7,2.417,1.200,377,377,0,0,0.000,0.000,0.000
KDFX20220101-6,KDFX20220102_001824_V06,8,3.120,1.200,376,376,0,0,0.000,0.000,0.000
KDFX20220101-6,KDFX20220102_001824_V06,9,3.999,1.200,376,376,0,0,0.000,0.000,0.000
KDFX20220101-6,KDFX20220102_002528_V06,0,0.483,1.200,2767,681,0,0,18720.863,18720.863,18720.863
KDFX20220101-6,KDFX20220102_002528_V06,2,0.879,1.200,2769,1220,0,0,5236.621,5236.621,5236.621
KDFX20220101-6,KDFX20220102_002528_V06,4,1.318,1.200,2769,2082,0,0,343.454,343.454,343.454
KDFX20220101-6,KDFX20220102_002528_V06,6,1.802,1.200,1387,1385,0,0,4.019,4.019,4.019
KDFX20220101-6,KDFX20220102_002528_V06,7,2.417,1.200,1384,1384,0,0,0.000,0.000,0.000
KDFX20220101-6,KDFX20220102_002528_V06,8,3.120,1.200,1387,1387,0,0,0.000,0.000,0.000
KDFX20220101-6,KDFX20220102_002528_V06,9,3.999,1.200,1391,1391,0,0,0.000,0.000,0.000
KDFX20220101-6,KDFX20220102_003233_V06,0,0.483,1.200,4971,1430,0,0,25865.577,25865.577,25865.577
KDFX20220101-6,KDFX20220102_003233_V06,2,0.879,1.200,4969,2447,0,0,11096.014,11096.014,11096.014
KDFX20220101-6,KDFX20220102_003233_V06,4,1.318,1.200,4966,3479,0,0,2205.028,2205.028,2205.028
KDFX20220101-6,KDFX20220102_003233_V06,6,1.802,1.200,2487,2474,0,0,16.035,16.035,16.035
KDFX20220101-6,KDFX20220102_003233_V06,7,2.417,1.200,2487,2486,0,0,0.419,0.419,0.419
KDFX20220101-6,KDFX20220102_003233_V06,8,3.120,1.200,2492,2492,0,0,0.000,0.000,0.000
KDFX20220101-6,KDFX20220102_003233_V06,9,3.999,1.200,2496,2496,0,0,0.000,0.000,0.000
KDFX20220101-1,KDFX20220101_232147_V06,0,0.483,1.200,14702,14212,0,0,3232.300,3232.300,3232.300
KDFX20220101-1,KDFX20220101_232147_V06,2,0.879,1.200,14707,14572,0,0,1066.274,1066.274,1066.274
