track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_weather_pixels,n_highZ_pixels_60,n_highZ_pixels_40,n_animals,n_animals_60,n_animals_40
KEWX19960101-1,KEWX19960101_223121,2,1.500,1.200,5467,nan,0,0,39802.076,39802.076,39802.076
KEWX19960101-1,KEWX19960101_223121,4,2.400,1.200,5472,nan,0,0,46018.244,46018.244,46018.244
KEWX19960101-1,KEWX19960101_223121,5,3.400,1.200,5483,nan,0,0,7149.663,7149.663,7149.663
KEWX19960101-1,KEWX19960101_223711,0,0.500,1.200,8180,nan,0,0,1631.095,1631.095,1631.095
KEWX19960101-1,KEWX19960101_223711,2,1.500,1.200,7737,nan,0,0,47961.833,47961.833,47961.833
KEWX19960101-1,KEWX19960101_223711,4,2.400,1.200,7662,nan,0,0,35678.314,35678.314,35678.314
KEWX19960101-1,KEWX19960101_223711,5,3.400,1.200,7669,nan,0,0,2032.933,2032.933,2032.933
KEWX19960101-5,KEWX19960101_230621,0,0.500,1.200,3756,nan,0,0,12775.038,12775.038,12775.038
KEWX19960101-5,KEWX19960101_230621,2,1.500,1.200,3753,nan,0,0,39756.779,39756.779,39756.779
KEWX19960101-5,KEWX19960101_230621,4,2.500,1.200,3769,nan,0,0,2506.595,2506.595,2506.595
KEWX19960101-5,KEWX19960101_231211,0,0.500,1.200,5566,nan,0,0,7485.354,7485.354,7485.354
KEWX19960101-5,KEWX19960101_231211,2,1.500,1.200,6024,nan,0,0,34747.770,34747.770,34747.770
KEWX19960101-8,KEWX19960102_001646,0,0.500,1.200,6199,nan,0,0,1747.415,1747.415,1747.415
KEWX19960101-8,KEWX19960102_001646,2,1.500,1.200,6204,nan,0,0,2.875,2.875,2.875
KEWX19960101-8,KEWX19960102_001646,4,2.400,1.200,6218,nan,0,0,2.882,2.882,2.882
KEWX19960101-8,KEWX19960102_001646,5,3.400,1.200,6225,nan,0,0,2.893,2.893,2.893
KEWX19960101-8,KEWX19960102_002236,0,0.500,1.200,9320,nan,0,0,1473.774,1473.774,1473.774
KEWX19960101-8,KEWX19960102_002236,2,1.500,1.200,9305,nan,0,0,4.197,4.197,4.197
KEWX19960101-8,KEWX19960102_002236,4,2.400,1.200,9341,nan,0,0,4.221,4.221,4.221
KEWX19960101-8,KEWX19960102_002236,5,3.400,1.200,9345,nan,0,0,4.231,4.231,4.231
KEWX19960101-14,KEWX19960102_014415,0,0.500,1.200,10651,nan,0,0,7137.696,7137.696,7137.696
KEWX19960101-14,KEWX19960102_014415,2,1.500,1.200,10663,nan,0,0,23.554,23.554,23.554
KEWX19960101-14,KEWX19960102_014415,4,2.500,1.200,10159,nan,0,0,5.353,5.353,5.353
KEWX19960101-14,KEWX19960102_014415,5,3.400,1.200,10163,nan,0,0,5.367,5.367,5.367
KEWX19960101-14,KEWX19960102_015005,0,0.500,1.200,13529,nan,0,0,7867.652,7867.652,7867.652
KEWX19960101-14,KEWX19960102_015005,2,1.500,1.200,13545,nan,0,0,45.348,45.348,45.348
KEWX19960101-14,KEWX19960102_015005,4,2.500,1.200,13578,nan,0,0,6.904,6.904,6.904
KEWX19960101-14,KEWX19960102_015005,5,3.400,1.200,13603,nan,0,0,6.932,6.932,6.932
KEWX19960101-4,KEWX19960101_230031,0,0.500,1.200,4500,nan,0,0,1683.846,1683.846,1683.846
KEWX19960101-4,KEWX19960101_230031,2,1.500,1.200,4504,nan,0,0,28996.304,28996.304,28996.304
KEWX19960101-6,KEWX19960101_231800,0,0.500,1.200,2631,nan,0,0,739.289,739.289,739.289
KEWX19960101-6,KEWX19960101_231800,2,1.500,1.200,2629,nan,0,0,340.084,340.084,340.084
KEWX19960101-6,KEWX19960101_231800,4,2.500,1.200,2642,nan,0,0,230.072,230.072,230.072
KEWX19960101-6,KEWX19960101_231800,5,3.400,1.200,2642,nan,0,0,312.318,312.318,312.318
KEWX19960101-6,KEWX19960101_231800,6,4.400,1.200,2642,nan,0,0,1749.831,1749.831,1749.831
KEWX19960101-6,KEWX19960101_231800,7,5.900,1.200,2650,nan,0,0,1719.780,1719.780,1719.780
KEWX19960101-7,KEWX19960101_235850,0,0.500,1.200,1198,nan,0,0,898.782,898.782,898.782
KEWX19960101-7,KEWX19960101_235850,2,1.500,1.200,1201,nan,0,0,0.773,0.773,0.773
KEWX19960101-7,KEWX19960101_235850,4,2.400,1.200,1207,nan,0,0,0.779,0.779,0.779
