track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
9,KDFX19990228_005627,17.315,0.123,313.612,232.282,33.490,-100.210,29.578,16744.996,34536.392,19990227_185627
9,KDFX19990228_010216,23.132,0.206,337.678,252.631,24.075,-100.086,29.486,12037.319,30263.389,19990227_190216
12,KDFX19990228_005627,17.315,0.168,340.020,339.190,10.878,-100.075,29.096,5438.894,28006.488,19990227_185627
12,KDFX19990228_010216,23.132,0.391,340.199,340.147,17.431,-100.074,29.091,8715.366,28406.537,19990227_190216
1,KDFX19990227_231713,-81.918,0.111,82.244,193.928,6.758,-101.406,29.746,3379.040,121108.467,19990227_171713
2,KDFX19990227_231713,-81.918,0.057,236.289,380.483,8.192,-100.607,28.909,4096.184,51323.987,19990227_171713
3,KDFX19990227_233444,-64.401,0.078,351.229,434.340,2.413,-100.018,28.666,1206.406,71888.193,19990227_173444
11,KDFX19990228_005037,11.482,0.086,323.613,235.009,21.251,-100.158,29.566,10625.328,34574.016,19990227_185037
15,KDFX19990228_010806,28.965,0.152,254.612,438.076,16.163,-100.512,28.649,8081.505,72672.482,19990227_190806
2,KDFX19990301_004553,6.072,0.953,417.950,259.089,12.580,-99.672,29.456,6289.963,62421.714,19990228_184553
2,KDFX19990301_005547,15.972,0.985,416.714,249.868,20.543,-99.678,29.497,10271.516,63512.321,19990228_185547
2,KDFX19990301_010540,25.855,0.992,417.350,241.099,29.050,-99.675,29.537,14524.827,65651.344,19990228_190540
2,KDFX19990301_012529,45.672,0.933,419.280,232.009,44.205,-99.665,29.578,22102.377,68648.717,19990228_192529
2,KDFX19990301_013523,55.572,0.602,415.917,229.399,49.576,-99.682,29.590,24787.996,67862.218,19990228_193523
2,KDFX19990301_014517,65.472,0.064,414.829,218.919,50.695,-99.687,29.637,25347.554,70284.996,19990228_194517
1,KDFX19990301_001611,-23.628,0.714,259.096,181.191,11.836,-100.492,29.808,5918.190,62826.511,19990228_181611
1,KDFX19990301_002605,-13.728,0.979,258.720,171.528,17.620,-100.494,29.852,8809.804,67470.576,19990228_182605
1,KDFX19990301_003559,-3.828,0.989,259.821,159.811,27.290,-100.488,29.905,13645.223,72916.705,19990228_183559
1,KDFX19990301_004553,6.072,0.913,270.878,155.287,34.722,-100.431,29.925,17360.862,73806.987,19990228_184553
1,KDFX19990301_005547,15.972,0.329,271.598,147.959,50.082,-100.427,29.958,25041.203,77335.719,19990228_185547
1,KDFX19990301_010540,25.855,0.138,256.873,175.840,8.294,-100.503,29.832,4146.902,65718.283,19990228_190540
1,KDFX19990301_012529,45.672,0.557,258.342,173.011,17.156,-100.496,29.845,8577.819,66823.583,19990228_192529
1,KDFX19990301_013523,55.572,0.120,266.547,167.562,30.658,-100.453,29.870,15329.197,68298.980,19990228_193523
7,KDFX19990301_005547,15.972,0.179,335.212,320.166,6.197,-100.099,29.181,3098.259,20288.994,19990228_185547
7,KDFX19990301_010540,25.855,0.453,358.052,312.891,12.435,-99.982,29.214,6217.591,29733.038,19990228_190540
7,KDFX19990301_012529,45.672,0.315,369.897,305.761,13.248,-99.921,29.246,6623.939,35066.919,19990228_192529
5,KDFX19990302_005720,16.851,0.718,422.401,267.220,11.363,-99.650,29.419,5681.698,63357.258,19990301_185720
5,KDFX19990302_010714,26.751,0.988,426.105,268.272,17.865,-99.631,29.414,8932.679,65017.559,19990301_190714
5,KDFX19990302_011709,36.667,0.991,429.140,267.519,25.002,-99.615,29.417,12501.075,66580.872,19990301_191709
5,KDFX19990302_012702,46.551,0.986,433.256,269.964,31.043,-99.594,29.406,15521.588,68299.322,19990301_192702
