track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_weather_pixels,n_highZ_pixels_60,n_highZ_pixels_40,n_animals,n_animals_60,n_animals_40
KSJT19970104-3,KSJT19970104_231618,4,2.400,1.200,1493,nan,0,0,1.769,1.769,1.769
KSJT19970104-3,KSJT19970104_231618,5,3.300,1.200,1625,nan,0,0,1.328,1.328,1.328
KSJT19970104-3,KSJT19970104_231618,6,4.300,1.200,1632,nan,0,0,0.390,0.390,0.390
KSJT19970104-3,KSJT19970104_231618,7,5.900,1.200,1463,nan,0,0,1.155,1.155,1.155
KSJT19970104-6,KSJT19970105_010946,0,0.500,1.200,2277,nan,0,0,144112.673,144112.673,144112.673
KSJT19970104-6,KSJT19970105_010946,2,1.500,1.200,2057,nan,0,0,33.063,33.063,33.063
KSJT19970104-6,KSJT19970105_010946,4,2.500,1.200,2052,nan,0,0,31.275,31.275,31.275
KSJT19970104-6,KSJT19970105_010946,5,3.500,1.200,2054,nan,0,0,5.901,5.901,5.901
KSJT19970104-6,KSJT19970105_010946,6,4.500,1.200,2057,nan,0,0,1.018,1.018,1.018
KSJT19970104-7,KSJT19970105_012058,0,0.500,1.200,5389,nan,0,0,2720.132,2720.132,2720.132
KSJT19970104-7,KSJT19970105_012058,2,1.400,1.200,5394,nan,0,0,88.648,88.648,88.648
KSJT19970104-7,KSJT19970105_012058,4,2.400,1.200,5423,nan,0,0,2.914,2.914,2.914
KSJT19970104-7,KSJT19970105_012058,5,3.300,1.200,5428,nan,0,0,2.066,2.066,2.066
KSJT19970104-7,KSJT19970105_012058,6,4.300,1.200,5434,nan,0,0,2.126,2.126,2.126
KSJT19970104-8,KSJT19970105_015248,0,0.500,1.200,563,nan,0,0,30.821,30.821,30.821
KSJT19970104-8,KSJT19970105_015248,2,1.400,1.200,564,nan,0,0,3.080,3.080,3.080
KSJT19970104-8,KSJT19970105_015248,4,2.400,1.200,567,nan,0,0,0.045,0.045,0.045
KSJT19970104-8,KSJT19970105_015248,5,3.300,1.200,553,nan,0,0,0.044,0.044,0.044
KSJT19970104-8,KSJT19970105_015248,6,4.300,1.200,555,nan,0,0,0.044,0.044,0.044
KSJT19970104-8,KSJT19970105_015248,7,5.800,1.200,561,nan,0,0,0.045,0.045,0.045
KSJT19970105-3,KSJT19970106_001824,0,0.500,1.200,2221,nan,0,0,500472.782,500472.782,500472.782
KSJT19970105-3,KSJT19970106_001824,2,1.400,1.200,2230,nan,0,0,174698.855,174698.855,174698.855
KSJT19970105-3,KSJT19970106_002416,0,0.500,1.200,3241,nan,0,0,719115.590,719115.590,719115.590
KSJT19970105-3,KSJT19970106_002416,2,1.500,1.200,3244,nan,0,0,214116.927,214116.927,214116.927
KSJT19970105-1,KSJT19970105_233756,0,0.500,1.200,702,nan,0,0,5025.647,5025.647,5025.647
KSJT19970105-2,KSJT19970106_000051,0,0.500,1.200,1734,nan,0,0,239216.201,239216.201,239216.201
KSJT19970105-5,KSJT19970106_005923,0,0.500,1.200,2929,nan,0,0,68323.510,68323.510,68323.510
KSJT19970105-5,KSJT19970106_005923,2,1.400,1.200,2936,nan,0,0,10771.242,10771.242,10771.242
KSJT19970106-1,KSJT19970107_002605,0,0.500,1.200,1646,nan,0,0,400.674,400.674,400.674
