track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_weather_pixels,n_highZ_pixels_60,n_highZ_pixels_40,n_animals,n_animals_60,n_animals_40
KSJT20200110-1,KSJT20200110_223202_V06,0,0.483,1.200,12925,12896,0,0,371.686,371.686,371.686
KSJT20200110-1,KSJT20200110_223202_V06,2,0.879,1.200,12931,12747,0,0,2474.662,2474.662,2474.662
KSJT20200110-1,KSJT20200110_223702_V06,0,0.483,1.200,10397,10358,0,0,412.883,412.883,412.883
KSJT20200110-1,KSJT20200110_223702_V06,2,0.879,1.200,10395,10213,0,0,1758.906,1758.906,1758.906
KSJT20200110-3,KSJT20200110_230134_V06,0,0.483,1.200,11852,11679,0,0,4640.386,4640.386,4640.386
KSJT20200110-3,KSJT20200110_230134_V06,2,0.879,1.200,11850,11618,0,0,3956.421,3956.421,3956.421
KSJT20200110-4,KSJT20200110_230134_V06,0,0.483,1.200,1390,1376,0,0,51.977,51.977,51.977
KSJT20200110-4,KSJT20200110_230134_V06,2,0.879,1.200,1380,1341,0,0,70.547,70.547,70.547
KSJT20200110-4,KSJT20200110_230134_V06,4,1.318,1.200,1377,1286,0,0,252.823,252.823,252.823
KSJT20200110-4,KSJT20200110_230134_V06,6,1.802,1.200,691,679,0,0,101.814,101.814,101.814
KSJT20200110-4,KSJT20200110_230134_V06,7,2.417,1.200,693,677,0,0,70.284,70.284,70.284
KSJT20200110-5,KSJT20200110_232044_V06,0,0.483,1.200,15044,14923,0,0,2401.094,2401.094,2401.094
KSJT20200110-5,KSJT20200110_232044_V06,2,0.879,1.200,15053,14713,0,0,4889.426,4889.426,4889.426
KSJT20200110-6,KSJT20200110_232044_V06,0,0.483,1.200,2981,2864,0,0,1241.942,1241.942,1241.942
KSJT20200110-6,KSJT20200110_232044_V06,2,0.879,1.200,2984,2786,0,0,2598.268,2598.268,2598.268
KSJT20200110-6,KSJT20200110_232044_V06,4,1.318,1.200,2979,2788,0,0,2124.521,2124.521,2124.521
KSJT20200110-7,KSJT20200110_233505_V06,0,0.483,1.200,9008,8847,0,0,3044.107,3044.107,3044.107
KSJT20200110-7,KSJT20200110_233505_V06,2,0.879,1.200,9024,8711,0,0,4978.653,4978.653,4978.653
KSJT20200112-3,KSJT20200113_004359_V06,0,0.483,1.200,681,498,0,0,2160.085,2160.085,2160.085
KSJT20200112-3,KSJT20200113_004359_V06,2,1.494,1.200,681,681,0,0,0.000,0.000,0.000
KSJT20200112-3,KSJT20200113_004359_V06,4,2.505,1.200,340,340,0,0,0.000,0.000,0.000
KSJT20200112-3,KSJT20200113_004359_V06,5,3.516,1.200,343,343,0,0,0.000,0.000,0.000
KSJT20200112-3,KSJT20200113_004359_V06,6,4.482,1.200,345,345,0,0,0.000,0.000,0.000
KSJT20200115-1,KSJT20200116_000137_V06,0,0.483,1.200,623,439,0,0,8182.789,8182.789,8182.789
KSJT20200115-1,KSJT20200116_000137_V06,2,1.494,1.200,619,619,0,0,0.000,0.000,0.000
KSJT20200115-1,KSJT20200116_000137_V06,4,2.505,1.200,315,315,0,0,0.000,0.000,0.000
KSJT20200115-1,KSJT20200116_000137_V06,5,3.516,1.200,316,316,0,0,0.000,0.000,0.000
KSJT20200115-4,KSJT20200116_002041_V06,0,0.483,1.200,1681,1615,0,0,706.969,706.969,706.969
KSJT20200117-1,KSJT20200118_000121_V06,0,0.483,1.200,5401,2555,1,33,377701.259,304762.060,20482.079
KSJT20200117-1,KSJT20200118_000121_V06,2,0.879,1.200,5407,3177,0,20,253264.157,253264.157,9943.259
KSJT20200117-1,KSJT20200118_000121_V06,4,1.318,1.200,5406,4616,0,0,836.759,836.759,836.759
KSJT20200117-1,KSJT20200118_000121_V06,8,1.802,1.200,2724,2678,0,0,5.479,5.479,5.479
KSJT20200117-1,KSJT20200118_000121_V06,9,2.417,1.200,2729,2701,0,0,3.583,3.583,3.583
KSJT20200117-1,KSJT20200118_000121_V06,10,3.120,1.200,2732,2714,0,0,1.310,1.310,1.310
KSJT20200117-1,KSJT20200118_000121_V06,11,3.999,1.200,2736,2730,0,0,0.099,0.099,0.099
KSJT20200117-1,KSJT20200118_000121_V06,12,5.098,1.200,2747,2747,0,0,0.000,0.000,0.000
KSJT20200117-1,KSJT20200118_000121_V06,13,6.416,1.200,2748,2742,0,0,0.085,0.085,0.085
KSJT20200118-1,KSJT20200118_224312_V06,0,0.483,1.200,1015,177,0,1,11982.433,11982.433,3612.839
KSJT20200118-1,KSJT20200118_224312_V06,2,1.494,1.200,1016,944,0,0,5.354,5.354,5.354
KSJT20200118-1,KSJT20200118_224312_V06,4,2.505,1.200,506,503,0,0,0.248,0.248,0.248
KSJT20200118-1,KSJT20200118_224312_V06,5,3.516,1.200,506,506,0,0,0.000,0.000,0.000
KSJT20200118-1,KSJT20200118_224312_V06,6,4.482,1.200,506,501,0,0,0.262,0.262,0.262
KSJT20200118-2,KSJT20200118_224312_V06,0,0.483,1.200,274,142,0,0,822.067,822.067,822.067
KSJT20200118-2,KSJT20200118_224312_V06,2,1.494,1.200,274,274,0,0,0.000,0.000,0.000
KSJT20200118-2,KSJT20200118_224312_V06,4,2.505,1.200,133,133,0,0,0.000,0.000,0.000
KSJT20200118-2,KSJT20200118_224312_V06,5,3.516,1.200,131,131,0,0,0.000,0.000,0.000
KSJT20200119-1,KSJT20200119_224011_V06,0,0.483,1.200,272,175,0,0,1173.581,1173.581,1173.581
KSJT20200119-1,KSJT20200119_224011_V06,2,1.494,1.200,271,271,0,0,0.000,0.000,0.000
KSJT20200119-1,KSJT20200119_224011_V06,4,2.505,1.200,138,138,0,0,0.000,0.000,0.000
