track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
1,KDFX20080103_005125,56.802,0.276,196.767,229.361,10.436,-100.813,29.590,5218.239,62543.826,20080102_185125
1,KDFX20080104_223533,-80.515,0.157,347.068,184.603,8.191,-100.037,29.793,4095.570,62313.450,20080104_163533
1,KDFX20080106_004141,44.874,0.060,261.260,524.129,12.483,-100.478,28.261,6241.272,113726.202,20080105_184141
1,KDFX20080106_005123,54.574,0.202,264.764,522.412,20.821,-100.460,28.269,10410.340,112592.932,20080105_185123
1,KDFX20080106_010104,64.257,0.141,260.549,525.630,31.208,-100.481,28.254,15604.168,114526.502,20080105_190104
1,KDFX20080106_011046,73.957,0.085,263.181,524.263,39.846,-100.468,28.261,19922.810,113632.667,20080105_191046
1,KDFX20080106_223411,-83.383,0.092,371.226,283.895,7.284,-99.914,29.345,3642.216,36512.033,20080106_163411
2,KDFX20080107_014752,110.300,0.059,26.034,248.074,24.501,-101.693,29.499,12250.628,139421.733,20080106_194752
2,KDFX20080108_004735,49.248,0.344,33.431,511.901,40.873,-101.639,28.310,20436.264,170265.282,20080107_184735
2,KDFX20080108_005716,58.932,0.647,40.626,504.175,50.833,-101.603,28.345,25416.253,165047.192,20080107_185716
2,KDFX20080108_010657,68.615,0.135,48.468,481.386,54.169,-101.564,28.448,27084.413,155055.819,20080107_190657
2,KDFX20080108_011638,78.298,0.146,63.533,465.523,56.283,-101.488,28.520,28141.704,144321.261,20080107_191638
2,KDFX20080108_012619,87.982,0.072,91.519,448.576,46.056,-101.346,28.598,23028.244,128003.081,20080107_192619
3,KDFX20080108_004735,49.248,0.133,494.451,281.974,13.327,-99.279,29.350,6663.521,97642.368,20080107_184735
3,KDFX20080108_005716,58.932,0.135,495.026,280.235,23.014,-99.276,29.358,11506.864,98012.494,20080107_185716
3,KDFX20080108_010657,68.615,0.088,496.997,277.835,19.797,-99.266,29.369,9898.407,99120.010,20080107_190657
3,KDFX20080108_011638,78.298,0.189,496.033,276.494,29.265,-99.271,29.375,14632.685,98718.627,20080107_191638
3,KDFX20080108_012619,87.982,0.112,498.373,274.635,26.032,-99.259,29.383,13016.159,99994.038,20080107_192619
4,KDFX20080108_005716,58.932,0.106,308.092,522.581,17.487,-100.239,28.268,8743.418,111364.022,20080107_185716
4,KDFX20080108_010657,68.615,0.094,306.723,524.636,32.145,-100.246,28.259,16072.695,112368.291,20080107_190657
1,KDFX20080107_223153,-86.452,0.131,376.416,290.379,6.410,-99.887,29.315,3204.781,38509.637,20080107_163153
6,KDFX20080109_005821,59.236,0.417,242.684,215.517,17.981,-100.576,29.653,8990.456,51045.326,20080108_185821
6,KDFX20080109_010803,68.936,0.247,239.291,209.432,35.741,-100.594,29.681,17870.276,54516.386,20080108_190803
6,KDFX20080109_011744,78.619,0.111,232.448,208.162,46.649,-100.629,29.686,23324.503,57003.270,20080108_191744
1,KDFX20080109_000948,10.686,0.176,245.560,441.563,9.052,-100.559,28.634,4525.894,75835.013,20080108_180948
1,KDFX20080109_001929,20.369,0.219,246.305,441.131,22.271,-100.555,28.636,11135.366,75500.186,20080108_181929
5,KDFX20080109_001929,20.369,0.073,369.206,316.302,7.176,-99.924,29.198,3587.833,35550.055,20080108_181929
7,KDFX20080109_012725,88.303,0.142,299.663,410.847,21.466,-100.282,28.772,10733.082,55423.756,20080108_192725
1,KDFX20080109_223356,-85.969,0.137,234.066,374.322,5.229,-100.618,28.937,2614.712,49676.584,20080109_163356
1,KDFX20080109_224338,-76.269,0.221,234.460,374.499,12.739,-100.616,28.936,6369.529,49612.480,20080109_164338
1,KDFX20080113_223849,-84.322,0.072,170.995,311.489,3.208,-100.944,29.219,1604.158,64757.793,20080113_163849
3,KDFX20080114_010428,61.328,0.130,187.699,235.191,3.070,-100.860,29.564,1534.998,64830.011,20080113_190428
5,KDFX20080114_234056,-23.031,0.070,294.538,549.231,31.782,-100.308,28.148,15891.164,124645.422,20080114_174056
5,KDFX20080114_235040,-13.297,0.659,289.807,538.793,36.533,-100.332,28.195,18266.391,119505.224,20080114_175040
5,KDFX20080115_000025,-3.547,0.680,297.289,532.408,44.072,-100.294,28.224,22035.999,116211.906,20080114_180025
5,KDFX20080115_001008,6.169,0.052,313.411,523.002,61.086,-100.212,28.266,30543.077,111702.447,20080114_181008
5,KDFX20080115_001952,15.903,0.122,265.766,521.711,33.777,-100.455,28.272,16888.700,112169.218,20080114_181952
5,KDFX20080115_002936,25.636,0.120,268.250,519.218,45.899,-100.442,28.283,22949.684,110752.646,20080114_182936
1,KDFX20080114_230159,-61.981,0.138,537.180,408.321,55.910,-99.066,28.778,27954.884,130372.343,20080114_170159
1,KDFX20080114_231142,-52.264,0.104,535.642,402.672,64.720,-99.073,28.804,32359.834,128519.154,20080114_171142
1,KDFX20080114_232127,-42.514,-1.000,534.191,397.341,73.958,-99.081,28.828,36978.944,126807.625,20080114_172127
1,KDFX20080114_233111,-32.781,0.080,529.650,382.951,62.336,-99.103,28.893,31167.904,122086.026,20080114_173111
2,KDFX20080114_231142,-52.264,0.414,227.784,286.312,33.069,-100.652,29.334,16534.534,36750.891,20080114_171142
3,KDFX20080114_233111,-32.781,0.137,213.392,520.512,63.072,-100.722,28.277,31535.919,118455.147,20080114_173111
7,KDFX20080115_004904,45.103,0.091,193.334,518.695,39.306,-100.824,28.285,19653.032,121660.530,20080114_184904
8,KDFX20080115_015712,113.236,0.158,184.313,403.927,30.802,-100.873,28.802,15400.806,77756.516,20080114_195712
9,KDFX20080115_021640,132.703,0.067,288.921,383.365,19.137,-100.337,28.896,9568.577,42048.982,20080114_201640
2,KDFX20080115_224723,-77.412,0.075,512.905,404.195,24.759,-99.190,28.798,12379.311,118517.021,20080115_164723
2,KDFX20080115_225707,-67.678,0.061,518.740,403.988,36.010,-99.160,28.799,18004.947,121099.847,20080115_165707
1,KDFX20080115_223741,-87.112,0.050,275.272,296.027,7.138,-100.408,29.290,3569.000,12522.567,20080115_163741
3,KDFX20080116_000510,0.372,0.124,342.173,513.307,17.638,-100.065,28.310,8819.157,108718.028,20080115_180510
4,KDFX20080116_012301,78.222,0.070,431.526,246.078,8.100,-99.602,29.514,4049.870,71075.085,20080115_192301
5,KDFX20080116_013245,87.955,0.094,320.221,396.091,32.160,-100.177,28.839,16080.198,49097.783,20080115_193245
6,KDFX20080116_014228,97.672,0.065,199.067,368.141,14.049,-100.798,28.964,7024.323,60890.612,20080115_194228
7,KDFX20080116_021141,126.888,0.079,241.271,310.894,11.987,-100.582,29.223,5993.315,29865.426,20080115_201141
1,KDFX20080117_224725,-79.053,0.097,301.583,324.725,5.502,-100.272,29.161,2750.832,12387.812,20080117_164725
1,KDFX20080119_003054,23.588,0.100,279.601,414.613,12.232,-100.385,28.755,6116.156,58207.085,20080118_183054
1,KDFX20080121_001126,2.430,0.191,305.166,325.052,7.313,-100.254,29.159,3656.300,12789.549,20080120_181126
1,KDFX20080121_224949,-80.036,0.055,229.451,490.379,3.664,-100.640,28.413,1832.052,101515.177,20080121_164949
2,KDFX20080122_004646,36.914,0.295,259.200,419.834,10.358,-100.489,28.732,5178.762,63294.604,20080121_184646
3,KDFX20080122_021432,124.681,0.093,263.739,336.505,9.038,-100.467,29.108,4518.990,25726.811,20080121_201432
1,KDFX20080123_232014,-51.320,0.066,72.762,199.690,71.281,-101.455,29.720,35640.320,124196.623,20080123_172014
2,KDFX20080124_004756,36.380,0.061,305.251,322.901,3.026,-100.253,29.169,1513.237,11747.647,20080123_184756
4,KDFX20080124_022323,131.830,0.122,281.075,409.330,28.072,-100.377,28.779,14036.171,55477.934,20080123_202323
2,KDFX20080125_021837,126.212,0.198,283.709,304.795,9.083,-100.364,29.251,4541.676,8491.006,20080124_201837
2,KDFX20080125_022820,135.929,0.061,282.292,303.909,17.385,-100.371,29.255,8692.490,9067.160,20080124_202820
1,KDFX20080125_011915,66.846,0.050,419.344,229.467,36.978,-99.664,29.589,18489.174,69314.310,20080124_191915
1,KDFX20080127_224825,-86.538,0.129,235.453,376.603,7.340,-100.611,28.927,3669.857,50085.763,20080127_164825
2,KDFX20080129_021953,124.081,0.351,14.666,267.439,15.345,-101.750,29.411,7672.650,143592.923,20080128_201953
2,KDFX20080129_022450,129.031,0.203,17.007,267.652,23.287,-101.738,29.410,11643.317,142417.898,20080128_202450
2,KDFX20080129_022949,134.014,0.239,25.497,263.924,25.480,-101.695,29.428,12739.814,138431.729,20080128_202949
1,KDFX20080129_005700,41.198,0.121,117.894,519.631,44.774,-101.208,28.278,22387.138,142653.752,20080128_185700
1,KDFX20080129_010643,50.914,0.251,122.043,521.927,59.704,-101.187,28.268,29852.204,142232.457,20080128_190643
1,KDFX20080129_233018,-46.348,0.813,252.254,197.829,13.009,-100.527,29.733,6504.332,56388.371,20080129_173018
1,KDFX20080129_234000,-36.648,0.974,247.385,207.747,20.419,-100.552,29.688,10209.730,53101.211,20080129_174000
1,KDFX20080129_234944,-26.915,0.952,239.957,222.977,29.987,-100.590,29.620,14993.740,48830.586,20080129_174944
1,KDFX20080129_235926,-17.215,0.930,239.340,229.959,42.075,-100.593,29.588,21037.473,46328.655,20080129_175926
1,KDFX20080130_000909,-7.498,0.915,230.919,244.879,50.182,-100.637,29.521,25091.174,44188.543,20080129_180909
1,KDFX20080130_001851,2.202,0.723,222.678,252.402,55.918,-100.679,29.487,27958.863,45398.957,20080129_181851
1,KDFX20080130_002835,11.935,0.171,220.700,264.693,57.657,-100.689,29.431,28828.338,43402.403,20080129_182835
6,KDFX20080130_010724,50.752,0.463,252.740,215.356,21.416,-100.524,29.654,10707.811,48471.936,20080129_190724
6,KDFX20080130_011708,60.485,0.390,252.174,214.243,30.810,-100.527,29.659,15405.101,49095.797,20080129_191708
6,KDFX20080130_012650,70.185,0.122,248.068,203.056,53.598,-100.549,29.710,26799.146,54988.798,20080129_192650
6,KDFX20080130_013633,79.902,0.156,233.328,221.016,50.963,-100.625,29.628,25481.472,51680.818,20080129_193633
3,KDFX20080129_233018,-46.348,0.315,107.606,212.995,24.722,-101.274,29.661,12361.061,105576.183,20080129_173018
3,KDFX20080129_234000,-36.648,0.645,105.557,210.826,41.614,-101.285,29.671,20806.901,106958.032,20080129_174000
3,KDFX20080129_234944,-26.915,0.244,111.834,215.711,50.883,-101.252,29.649,25441.580,103091.075,20080129_174944
5,KDFX20080130_001851,2.202,0.105,234.447,477.639,9.429,-100.615,28.471,4714.526,94674.191,20080129_181851
1,KDFX20080130_225031,-86.975,0.066,246.703,422.912,2.720,-100.553,28.718,1360.075,66984.942,20080130_165031
1,KDFX20080131_225741,-80.650,0.059,267.747,501.318,3.931,-100.445,28.364,1965.357,101942.623,20080131_165741
1,KDFX20080131_230725,-70.917,0.053,267.870,503.470,19.013,-100.444,28.354,9506.446,102995.604,20080131_170725
1,KDFX20080201_230353,-75.288,0.415,253.309,466.370,14.113,-100.519,28.522,7056.474,86398.823,20080201_170353
1,KDFX20080201_231338,-65.538,0.382,253.302,464.662,23.567,-100.519,28.529,11783.603,85577.856,20080201_171338
1,KDFX20080201_232322,-55.805,0.271,259.287,460.211,25.593,-100.488,28.550,12796.671,82651.547,20080201_172322
1,KDFX20080205_231542,-66.786,0.110,455.568,457.515,15.648,-99.485,28.560,7824.125,110693.697,20080205_171542
1,KDFX20080205_232518,-57.186,0.406,480.182,449.927,28.830,-99.359,28.593,14415.022,117200.318,20080205_172518
1,KDFX20080205_233455,-47.569,0.175,519.524,453.947,53.015,-99.158,28.573,26507.673,134061.987,20080205_173455
1,KDFX20080205_234434,-37.919,0.071,529.255,441.487,66.270,-99.108,28.629,33135.164,134700.061,20080205_174434
5,KDFX20080206_003248,10.314,0.477,278.545,206.492,18.865,-100.391,29.694,9432.442,47968.904,20080205_183248
5,KDFX20080206_004224,19.914,0.183,281.290,198.209,36.386,-100.377,29.732,18193.022,51748.120,20080205_184224
5,KDFX20080206_005200,29.514,0.100,299.381,198.221,47.455,-100.283,29.732,23727.412,50890.441,20080205_185200
11,KDFX20080206_022747,125.298,0.133,382.872,295.166,32.364,-99.854,29.294,16181.946,41506.433,20080205_202747
11,KDFX20080206_023721,134.864,0.169,387.138,289.043,47.947,-99.832,29.321,23973.372,43912.091,20080205_203721
7,KDFX20080206_005200,29.514,0.129,411.020,288.495,47.786,-99.709,29.323,23892.956,55807.270,20080205_185200
9,KDFX20080206_013955,77.431,0.052,385.205,238.934,62.677,-99.841,29.547,31338.272,52414.093,20080205_193955
10,KDFX20080206_015904,96.581,0.098,218.295,203.863,43.736,-100.702,29.705,21867.878,63083.337,20080205_195904
1,KDFX20080207_005009,26.847,0.109,263.815,422.769,2.870,-100.465,28.719,1435.110,63995.276,20080206_185009
3,KDFX20080208_005221,28.235,0.110,268.202,424.332,12.546,-100.443,28.712,6273.096,64166.890,20080207_185221
3,KDFX20080208_010202,37.918,0.131,268.485,423.315,22.595,-100.442,28.716,11297.601,63639.187,20080207_190202
1,KDFX20080207_230543,-78.399,0.065,277.188,395.535,4.850,-100.397,28.841,2425.068,49110.395,20080207_170543
2,KDFX20080207_234430,-39.615,0.070,100.147,203.219,2.806,-101.313,29.705,1402.769,111026.780,20080207_174430
1,KDFX20080209_005233,27.628,0.432,442.171,138.239,21.913,-99.544,30.000,10956.699,107679.170,20080208_185233
